AT4G16610,AT4G29010,AT2G34420,AT2G43080,AT3G12120,AT3G04720,AB000623,AT1G55020,T04323,AT1G76100,AT3G15730,AT3G12500,AT5G38430,AT1G33960,AT1G32060,AT5G65110,AT1G28670,AT4G39260,AT2G24180,AT2G26740,AT5G35630,AT3G15350,AT2G35790,AT3G06860,Y11607,AT2G34660,AT2G33150,AT2G23430,AT2G39780,AT4G25100,AB003040,AT1G78380,AT1G37130,Z56278,AT1G07890,X66017,AT4G39330,AT5G13930,AT3G20230,AT4G39980,AT1G31580,AT4G37980,AT2G34770,AJ000470,L15389,AF062901,AT4G00860,AT3G57260,AT4G20360,AT3G16480,AT3G16520,AT2G42010,AT2G02990,AT1G76490,X99793,AT4G38530,AT1G67980,AT5G39190,AT3G02520,AT3G59700,AT4G09320,AT3G44300,AT5G24090,AT3G25230,AT1G08830,AT1G51680,AT1G05010,AT4G16760,AT5G42650,AT5G05730,AT1G25220,AT3G29200,AT4G31500,AT3G13920,AT3G11170,Z26426,AT2G29450,AF087932,AT5G02500,AT1G51760,AT3G45140,AT1G76680,AT2G37040,AT3G53260,AT1G56190,Y14590,AT3G30775,AT5G42180,AT4G13940,AT3G54640,AT5G54810,AT3G50970,AT3G18780,AT1G16060,AT5G54160,X16432,AT1G64280,AT5G66570,AT4G01850,AT1G01470,AT2G20340,AT3G47290,AT2G14610,AT1G75040,AT5G20620,AT2G26330,AT2G25080,AT4G14980,AT1G67750,AT1G67550,AT5G26000,AT5G25980,AT2G05510,AT1G04820,AT1G01480,AT3G28930,AT4G20890,AT2G45820,AT3G15210,AT5G47770,AT2G28740,AT2G14850,AT4G08500,AT3G45640,AT5G52350,AT3G20600,AT5G06940,AT1G53840,AT2G41110,AT5G37770,AT2G41100,AT5G57560,AT1G72260
AT4G16610,0,0.386547547106677,0.258204800629943,0.302074078589127,0.390194072421238,0.627498441771944,0.443979125057409,0.539777336283806,0.7287193444633,0.898774162331702,0.170475309895761,0.7771614065362,0.714965931330385,0.379730730628357,0.66388327390319,0.70832543526165,0.389468027113717,1.19288900810833,0.909293535127355,1.19705538769498,0.787295851040927,0.786074511456465,0.477460885623802,0.654124133703476,0.915397554244863,0.551600954527948,0.743970850811073,0.44444970638387,1.2653891462967,0.67573347573007,0.827203916740839,0.646049795367775,0.811313424140742,0.763216570881264,0.709991971215486,0.786361879982581,0.645599298379285,0.568442587966547,0.503270649981396,0.507966502972077,0.895986940345069,0.783280614152861,0.321638932967138,0.611619590862618,0.816801091324564,0.191042740693109,0.941710951199145,0.957667759506934,0.60386869486429,0.751700747613387,0.837498540622043,0.673036732817683,0.562479712934324,0.949686185866708,1.08390065160838,1.2072907836735,0.969318488808004,0.797685787920345,1.02464922017133,0.948392548369392,1.12861377406202,0.730359967018808,1.04596417224543,1.03118370159351,0.819123616688665,1.3933074303545,1.66687066399388,1.62929223308087,1.89956781653525,1.6907778171084,1.59299829644604,1.4831515525248,1.67323813878932,1.37633896685037,1.51401375608206,1.72687379305218,1.84091075166067,1.636192830818,1.35768544102092,1.79719151446192,1.76448939560544,1.76979418559558,1.28001514645157,1.31479284717987,1.45988171862415,1.68569243705394,1.61348929789608,1.5395060340023,1.23087574582798,1.40816144662257,1.48714173756363,1.08140358748919,0.963647623091225,1.01356377661151,0.940688949431548,1.02278745714693,1.01258495252821,1.33450909669975,1.2694498490727,1.63161512023225,0.540681451397067,0.94941153567675,0.354912502194747,0.847098757994191,0.618163477494142,0.505901887890935,0.46028609865925,0.815059063993952,0.575248709831187,1.01401292084794,0.908631861235865,0.740290217903718,1.06417675369887,1.41579819124747,1.21931586020508,1.63329262511359,1.21664643849369,1.85662688059468,1.65763720579151,1.36198002784357,1.55615162790018,1.21704859503796,1.38953930293505,1.23085588387795,1.68153914854798,1.42741247935035,1.23628910490294,1.42578000676412,1.7117866204354,1.49347848503238,1.4006296021284,1.41036900663479,1.23694114419097
AT4G29010,0.386547547106677,0,0.238276891630954,0.529911189316148,0.284081698986658,0.509386765310045,0.454069737316496,0.123785245041069,0.328477152831483,0.807844013313592,0.274350902550346,0.3057152326447,0.361234733485301,0.901655069144138,0.679313839610529,0.566770627016268,0.200260943025091,0.748200359090413,0.454811046010684,0.407530182151512,0.263601133249618,0.262765413343551,0.270679567985526,0.224370693456183,0.518216110188721,0.277724401767273,0.370027066585019,0.326695127751794,0.720691606658294,1.27053702815008,0.466944554856706,0.458778411078129,0.448926889981106,0.401520825748194,0.976112991257305,0.952553311473867,0.790284255509663,0.794447808387492,0.540176604522582,0.927494318409533,1.13977626215018,0.939447638550355,0.689954599845941,0.724576760415628,0.841404512419087,0.731763068589846,1.14225254229077,1.3775204455318,0.941356902909155,0.629566756545918,0.57987787983963,0.728723058824742,0.396987669341378,1.10765836869292,0.941493946929762,1.15542687142432,0.828285743028897,0.608790995431653,0.978108658493903,0.80077324732394,0.899321350015994,0.717127435186961,0.917143299436574,0.63616110188947,1.56200748056736,1.36878387660049,1.31985915365352,1.61962594531667,1.88395874411688,1.85544661596921,1.69918252411325,1.78516388345761,1.7474880532942,1.52613886431752,1.33381006684302,1.54316278627564,1.72997271379385,1.32406870697621,1.16594091910075,1.80389307098213,1.46271608492335,1.61183957001479,1.49349358455948,1.60601166261771,1.17099991661673,1.71485484824856,1.57743718640605,1.71975646681889,1.12552032023616,1.41115525343777,1.55824957016977,1.22655052402105,1.51883410693581,1.22732952270597,1.28323588392008,1.3812167831962,1.34517893913594,1.1791029784958,1.17947201773151,1.82276445252347,1.33012017954902,1.3037585094013,0.936407520210199,1.43801581347944,1.19212773360456,0.895887746183977,0.906995278544349,0.869684350033987,0.887170059435711,1.41047153906721,1.36546811602937,0.995703915148097,0.931815094425546,1.77441594692876,1.07013685755888,1.71496860680826,1.64040806162576,1.76067632622306,1.80411424260648,1.46784602417046,1.52370744883501,1.38775313895211,1.2978376855116,1.31620126201968,1.0540596349731,1.37504621361315,1.5621946377696,1.80419575717428,1.6939479133382,1.28856661411745,1.64338566738758,1.27025345392184,1.49480552852448
AT2G34420,0.258204800629943,0.238276891630954,0,0.291938542005218,0.331787426909342,0.420732260920003,0.310118062684609,0.23619254650902,0.346714642119305,0.60777409482394,0.275342141138332,0.327725634616697,0.233809813656744,0.575672382778402,0.62487363271627,0.774647483456488,0.558762246926301,0.988290259666561,0.97964807498275,0.865006031651145,0.648180659914133,0.644168775346737,0.756156996001395,0.538540535474586,0.855091311451026,0.798166654248301,0.647482258825331,0.373303249168757,1.24813511649552,1.30886436640694,0.856667974823384,0.741467373629885,0.839911164049709,0.848837609270968,1.07573941745739,0.943932759655004,0.943990358009448,0.902471232555075,0.942349823148248,0.720314258783491,1.01472780670694,1.06749578332799,0.714400134443916,1.00665279970144,1.05890462442325,0.562279401417204,1.34942934586128,1.58287016529915,0.834884269957471,0.902184481083958,0.988778631639595,0.806970307609363,0.559063792082641,1.28890027932748,1.3230574624246,1.18487341835036,1.07053046438835,0.977234583603075,1.14572909292307,1.05964999818052,1.13638422805162,0.992356229372796,1.1921558324607,0.987426434083573,1.24734900913448,1.57794903625242,1.75211713119852,1.6928804004791,1.82803830701504,1.81336992918334,1.72458810047723,1.57807703390566,1.81272545587896,1.7254666530819,1.52786897663708,1.87186158046163,1.79421563322467,1.41107914471536,1.38611366733458,1.82099488728571,1.47592117109657,1.8673451555067,1.64789382390905,1.64350071857267,1.39273107131105,1.67653989189173,1.63707579995631,1.27364557237336,1.32551610457799,1.62891082522921,1.68349332407705,1.00438062719885,1.50969330766989,1.31822774127977,1.28565916538105,1.38129339875029,1.49816266330511,1.38486473540584,1.37039824250288,1.77907024044479,0.928925641251683,1.43408501286872,0.74095612330747,1.50748683171679,1.1771562457472,0.952976298250598,0.635231748146111,0.93627190552808,0.826111072475551,1.33045574497229,1.2862838377072,1.05527021599788,1.19364697753999,1.63212970398066,1.26545070461392,1.69228850270937,1.51347064938375,1.85751103659207,1.82345431224019,1.53577584998314,1.60954167330097,1.40122951939276,1.57831796864085,1.4122685640856,1.38548444114614,1.45679556436308,1.2493489824815,1.60738151610904,1.83312682161071,1.61967719125623,1.61287734162822,1.52871528939542,1.60778319075598
AT2G43080,0.302074078589127,0.529911189316148,0.291938542005218,0,0.199461822819845,0.397498756492282,0.188811056281456,0.416090443346126,0.440472305679342,0.455237988904262,0.457853700546823,0.512207500569049,0.367775869989449,0.610401479736035,1.23333859969207,1.00800607031771,0.699423880973881,0.891686431377629,1.02188888215233,1.33510789171093,0.946833105017964,0.870159905369304,0.73678194818874,0.94116297230936,1.020161894151,0.837279610611347,0.914238573485753,0.824966066751328,1.34711962410273,1.16472752854305,1.18330495522673,1.15725601030783,1.29815744640397,0.932272576662409,1.36700949281116,1.11556730266406,1.13813520124106,0.982056499860271,0.984820645480447,0.883001096275175,1.43854895777692,1.11811275117368,0.668593151460763,1.06868262699852,1.48962265548885,0.611961741937356,1.40468823107742,1.44143419213454,1.09061402922735,1.20646216022317,1.3889487973217,0.825064904804683,0.890889590317517,1.16598454437195,1.4080581636756,1.27167790323177,1.14555523732073,1.03404359784115,0.919799164519862,1.13289767101612,0.945914940213624,0.93457369825506,1.17266823360222,1.04994742697347,0.860133780882487,1.54533862131766,1.44474072949776,1.32725241212271,1.58024775134394,1.56264237101372,1.32462070882678,1.16544601113892,1.42680194593745,1.63936154519902,1.25395902583279,1.6442255082086,1.5619726759798,1.71600894845005,1.13738123585674,1.47176571592085,1.71348683871672,1.5666048627303,1.43563654968,1.27037163535998,1.79685726167496,1.38776682377104,1.51778392970384,1.31329439504291,1.08433648511019,1.55276833995518,1.37711334323979,1.0509031464922,1.31165012280732,1.26760995664911,1.11077460864893,0.962288209115527,0.917693548835457,1.20184918771803,1.00288280101039,1.20674522828695,0.745917406676013,1.46022827040561,0.633884357617892,1.21569249625952,0.89203874692225,0.553566585224422,0.321264330847745,0.713484330165505,0.484473230245909,1.41056807155343,0.839437715477136,0.613728731066729,1.04030335395904,1.11325622173572,0.923521713170622,1.320018342932,1.07247514177415,1.63852428610954,1.37873474792138,1.59458448115791,1.22485951872413,0.932416182248873,1.37362976072793,1.14463181588054,1.33315291232865,1.12410843636839,0.924606826213588,1.23463526332478,1.45479757224277,1.40262494646412,1.07297560041442,1.20614553074586,1.11962309824013
AT3G12120,0.390194072421238,0.284081698986658,0.331787426909342,0.199461822819845,0,0.390102813440134,0.0939934327780761,0.138117810170273,0.474285383650613,0.304717559393517,0.239301194786477,0.298177332400386,0.439949245844899,0.547635772051372,1.05757104828031,0.498220523875961,0.346418747156663,0.445810945202223,0.5655567817456,0.876826926439718,0.431891934809656,0.335784948681826,0.389901971831303,0.44959570202548,0.44959925040962,0.53354100455878,0.420280591005293,0.433515368618753,0.782039608289454,1.29380037031124,0.640871406844904,0.75146172206107,0.797237869548658,0.428449307983991,1.26741130311171,0.746412941999791,0.830681612933862,0.846207604459641,0.630100217249022,0.713234682601899,1.2355767373813,0.826974947257253,0.597489714364465,0.878092091629338,1.26542736659419,0.880445570591198,1.08391923991364,1.34690912889179,0.921785783161294,0.895937544264934,1.06254861853755,0.466029816648136,0.724908572665845,0.888753660290529,1.09782199885082,1.2083486772571,0.931758941008136,0.736411445602185,0.589359902929003,0.907752716487008,0.661533248376923,0.670540724570379,0.946768818245102,0.637241550400559,1.28804754887433,1.38736600514578,1.17361113538491,1.35825732597504,1.66325100146915,1.56973638090315,1.35134794435623,1.34421348550953,1.46886082691683,1.56358667052424,1.08588116645942,1.57683677067114,1.69439956612108,1.56860479010845,0.891436336859343,1.58693115284512,1.69758231133292,1.6018695503139,1.52388035819466,1.47453416204765,1.53412349950444,1.60353138630179,1.47758746300265,1.62154627404463,0.915751179679984,1.40131388510981,1.32583718427867,1.20663010559134,1.30679448348618,1.18378623086329,1.11536200953994,0.983594048581047,0.94331114146059,1.01504679512453,0.831455193760131,1.38340101476507,0.916981197621805,1.5352464266301,0.642445445995887,1.24103150784073,0.815315417986346,0.502137687929132,0.46508005975527,0.520510340651927,0.420257090404552,1.48264981308491,0.975539296785009,0.680101589483701,1.03021190585426,1.17376367443871,1.13843211650757,1.19441559839213,1.10471019662613,1.60225109308176,1.43147507816514,1.3017780251776,1.11075722107475,1.16832814424517,1.0373159582266,1.00746783547847,0.941587904056014,0.912712392815854,1.18028190484008,1.38722726465899,1.35459020329714,1.16382601006136,1.1768508650398,0.9528316577921,1.20578915483051
AT3G04720,0.627498441771944,0.509386765310045,0.420732260920003,0.397498756492282,0.390102813440134,0,0.571160946484478,0.383079146617703,0.167882316615733,0.631590804881528,0.670113937788449,0.714281761163012,0.46368086475414,0.812856584258024,0.748338702958941,0.814711119827452,0.611265258449451,0.88193775785334,0.965499322219347,0.907238367873063,0.935736871178685,0.858943674939134,0.719384066501876,0.953278626942999,1.01608293332872,0.991104172514614,0.897384862040983,0.718111672163545,1.09747848562316,1.50926174064605,1.20290152627107,1.31923289131105,1.23795334146782,1.08465182490469,1.62693491817034,1.27595766439307,1.48987454833058,1.56359958920404,1.19811392041065,1.15297548292053,1.17155344863517,1.58961276793492,1.30786737129722,1.58019155726484,1.56185208624527,1.1574449296108,1.62202153301411,1.59338752377322,1.47524199734099,1.57458297848081,1.50474002015626,1.23499053083139,1.14371686232175,1.63450466220022,1.75757622501034,1.77978071193129,1.62700893058528,1.43470345087231,1.3556581028633,1.60731224975426,1.4367791589138,1.48575372300577,1.70302431386554,1.36361611502842,1.31523753899597,1.81236541694383,1.51119256018637,1.68137101277466,1.46200273108117,1.7390609020936,1.72076355392593,1.61990049890394,1.72118430864936,1.94345972899774,1.60257963287965,1.6583249548316,1.57889718322355,1.52020089678674,1.51006082301275,1.65178646262548,1.59117408251498,1.64815195450656,1.69410014244151,1.58014247202633,1.73523334820701,1.38458762927178,1.68584659784749,1.45570263228287,1.59007853052866,1.90936498118565,1.83412291930979,1.57228191139623,1.6328493390815,1.74351687893943,1.74366102050587,1.66187632517167,1.49733547437511,1.71547872284747,1.54319528229976,1.39343381436982,0.998201397923119,1.36615605130606,0.612722857645481,1.40422956253027,0.940651194426023,0.690230534846895,0.438665803427598,0.602405392000545,0.55424722274989,1.30078783795181,0.907124143567061,0.545778128036939,1.28427001270052,1.2178746791965,0.763862306651333,1.26456714046358,1.38060795202039,1.22910021417093,1.34047807457707,1.23948744184126,1.31924242098634,0.688728294883459,1.13690483008406,0.858384362483454,0.794342983766092,0.879077237691649,0.761675973347046,1.114564792071,1.4928870778859,0.986330204811041,1.014123872039,1.21677744812633,1.57319414579352
AB000623,0.443979125057409,0.454069737316496,0.310118062684609,0.188811056281456,0.0939934327780761,0.571160946484478,0,0.20668579936919,0.619202779094423,0.145495498932848,0.255190728815002,0.223713800633222,0.362267120956855,0.452397373165738,1.14063023499186,0.565845758664102,0.53768331630727,0.550691454334845,0.673283243943398,1.07993251403316,0.500747867206204,0.464998343200015,0.653095510900505,0.541932322651659,0.560518968197367,0.728242489880525,0.423083292988531,0.503548221542396,0.886874596228127,1.23678983197815,0.697853053026981,0.758578693098868,0.870631620036053,0.589321317894757,1.27948593070117,0.673647055321182,0.830291608942577,0.816787902170817,0.800830202286143,0.568408772230148,1.25006535515296,0.737193985912062,0.57464224912433,0.861925739759206,1.33337424581199,0.817646609869443,1.08152453966573,1.40480917241741,0.767912588862308,0.848271060872747,1.15339360390198,0.393070716427498,0.854337220237998,0.782263069927988,1.11281592256199,0.902821988496023,0.753608774929599,0.674836833549557,0.48211419040554,0.742687593418837,0.532050622873365,0.586881209556718,0.798265404783533,0.68609815904378,1.22412833516703,1.39092950979216,1.20964768566761,1.25980860273162,1.53399003619988,1.38212574244725,1.15845964153708,1.11241070163462,1.2882818816728,1.48878870547345,1.04543844322931,1.64464841797714,1.63951534992128,1.58668724149543,0.881368676747598,1.4430664131624,1.61761478308132,1.60019705205538,1.59837878444793,1.51482176610408,1.51733927675646,1.61558437695975,1.44796422620253,1.29987030789399,0.893853891605918,1.33117790374084,1.18474208081502,1.0560642242157,1.28058536065495,1.16741468259405,1.02823721244152,0.802950311382056,0.926008256989979,0.904904909247817,0.729006673133324,1.26303190698719,0.780318454811614,1.53352397963481,0.679664764021962,1.24160810513068,0.880481688169659,0.552057205283804,0.393816235149432,0.496511420370628,0.401447226957577,1.33374546417847,0.885905753379577,0.741888779445472,0.901792722596004,1.03398527139935,1.21504366385386,1.09034429587748,0.885820847219935,1.58759439274885,1.31018316401272,1.26157905536326,0.937198981831445,1.22063838792115,1.03911737123804,0.979916291159499,1.07211550044702,0.870286405968359,1.0130649048346,1.23645974706211,1.23146523949102,1.22963148334177,1.09674030889625,0.869607415371743,1.03790207356726
AT1G55020,0.539777336283806,0.123785245041069,0.23619254650902,0.416090443346126,0.138117810170273,0.383079146617703,0.20668579936919,0,0.293428916983642,0.37874265667668,0.276939999518717,0.132659307136812,0.226867745029413,0.77272882039089,0.828305066833334,0.459695193925813,0.292993639587963,0.534865960895697,0.435931006348013,0.526041124664888,0.24257842950097,0.234161267129909,0.425785373039706,0.287135903079775,0.447826120935986,0.498678588529036,0.261736293621513,0.343305184853272,0.63136533472024,1.48354472316748,0.510007669255232,0.612833757912522,0.589765126858294,0.46444507511699,1.31246496254297,0.863157962472013,0.94396982941084,1.00952150832165,0.760368250838522,0.8509723261199,1.22605949932853,0.974119494294417,0.849725815398919,0.953376118174152,1.18975969551365,1.01257489757168,1.23912388994391,1.57911425139461,0.999332051295057,0.812052744438288,0.902810211211883,0.621884814603873,0.698363410853166,1.07240431222202,1.1279799435724,1.09700938256315,0.840389505323511,0.671374363079973,0.767878055555227,0.819049086272477,0.730450293682012,0.747701720050311,0.934660461679162,0.66028559957214,1.68170305334205,1.50959891470897,1.23496311361793,1.54442002576114,1.69707847233462,1.70581142829725,1.53436570391345,1.60078782053144,1.60165808083346,1.670296387291,1.25244406260132,1.6419935863582,1.72084810001717,1.42648910951025,1.08162699398583,1.68692670635493,1.51101260597311,1.65364505806471,1.74842259585804,1.77052894412023,1.34628717350401,1.73593859762437,1.60727877741764,1.56038725516523,1.12309323747882,1.50621111667884,1.50769447424859,1.31380171865787,1.63753211018525,1.40888736179414,1.40318751680318,1.3020819784009,1.34487958101461,1.1296143652054,1.0362188166197,1.61994548317207,1.23661597401262,1.51582071757914,0.890127525716485,1.53357203460521,1.16156404680289,0.784562318338153,0.675831870442146,0.585054449038042,0.640523012433257,1.42354538420622,1.18198729324354,0.856787320247314,0.903160157883474,1.46673704533707,1.07429312344852,1.38391929820235,1.36729144396532,1.58690578706166,1.56592834334719,1.30998307899249,1.19172378861628,1.27223207988601,1.07558155863981,1.05628535331864,0.80991307933225,1.00241378113922,1.25250425560643,1.54057215640478,1.45665781124489,1.11828308241752,1.37025731117337,0.996237659013979,1.3984516373162
T04323,0.7287193444633,0.328477152831483,0.346714642119305,0.440472305679342,0.474285383650613,0.167882316615733,0.619202779094423,0.293428916983642,0,0.759156000249089,0.787248221815369,0.465515377815721,0.174464841488506,1.21893585577634,0.910501248170294,1.06449262871082,0.659665673557179,0.930182277970955,0.872804191791233,0.645195630407843,0.801897107558244,0.774979535995493,0.733867583625537,0.845040542935179,1.06499379276164,0.821739215353994,0.885051200663036,0.852640719755609,1.08215652710107,1.65107246762818,1.15792080286333,1.22222356739424,1.14365085253895,1.03249959546502,1.624307482858,1.54886770988842,1.56307626679105,1.51635290529529,1.27226752969794,1.45584554520263,1.4835186272582,1.65827277300582,1.35596153289577,1.47162951530085,1.49691918956679,1.11354312232596,1.80606186692326,1.82133777841665,1.60700746355177,1.39374705785575,1.27624316618445,1.36281482734916,0.928293288917617,1.72603068805053,1.60012909134798,1.52409066781468,1.38725331554505,1.23714646990229,1.4261488236863,1.37129954238232,1.29717677558183,1.38383792469137,1.48188932465448,1.18506686913655,1.48951762743515,1.7348534125881,1.4154523986448,1.58410210201817,1.50060403964806,1.82454005056963,1.7001286601935,1.66846981326522,1.68563952368746,1.8997083895705,1.49704308484409,1.52843756397178,1.4251855268417,1.37288632945098,1.43984216156225,1.57000486798858,1.35607095493388,1.4724571927451,1.65509220881935,1.57434902338512,1.55212712851104,1.32707038089888,1.62834079646411,1.37868901642921,1.46444850285517,1.81129290200231,1.76657626175337,1.38951764499615,1.90299353586176,1.72866339389167,1.74721462556835,1.71034555424901,1.5839458724876,1.5369031740304,1.45404369921973,1.47740698653435,1.44857052223175,1.47966378739061,1.09050040754811,1.72725201279604,1.43766578913588,1.04023425013033,0.768411751237159,0.885496384611872,0.915650769654851,1.49874615088225,1.2169024228408,0.809890386434896,1.05074213134604,1.54984171994774,0.606082505677036,1.54424758758959,1.65818764783729,1.3678952806731,1.51163169214306,1.60584839832397,1.42043445137555,0.848063004379251,1.3876591853352,1.17062363398034,0.829108761951518,1.17860848011306,1.02557883614107,1.43880240257816,1.58837196725657,1.14895477956951,1.27428517659493,1.31991069281933,1.5769072931996
AT1G76100,0.898774162331702,0.807844013313592,0.60777409482394,0.455237988904262,0.304717559393517,0.631590804881528,0.145495498932848,0.37874265667668,0.759156000249089,0,0.572004994828345,0.313348602883801,0.494215925760744,0.5388323477939,1.22676345612606,0.578035568289019,0.839072530708752,0.406914662245408,0.768801101678974,1.09524270210774,0.625335908932968,0.581437633304976,0.975418356129321,0.733284358315757,0.571893669129634,1.0917094231369,0.495390546325022,0.674997417393374,0.772665576067005,1.43792938403077,0.802394060397721,0.981161627876535,1.01711107242335,0.762279295375191,1.51359009723254,0.645991289722768,1.02109429272244,1.10705681580481,1.11034541298753,0.644176248679557,1.18750172304851,0.838951135190304,0.932469158140146,1.16891956257383,1.5357810832231,1.27366358772117,1.10757429829806,1.46718463690573,0.898444265313022,1.07090552701387,1.40112439570364,0.473822343553294,1.20062828506309,0.800308547502732,1.21603404588547,0.861050371962489,0.855411281852088,0.869612479455815,0.41822475457854,0.856308589774976,0.497823400561336,0.779532104920611,0.876621562782775,0.75914414719296,1.31787634306902,1.31739211917998,0.980315887214745,1.03171961400089,1.08014525718639,1.02610381696001,0.891713636773528,0.851032683953617,0.997453790734459,1.41810137978396,0.869330088468353,1.44858248452118,1.33927647170767,1.3627694708892,0.763185532914431,1.11250293237588,1.34262865447893,1.37861272592457,1.61773623389394,1.48374310965833,1.40934864478611,1.36535657286324,1.22727889698815,0.988458145893097,0.875411271053673,1.24557196021504,1.01910607099621,1.08862976163859,1.28976316046805,1.25261871860471,1.12447386654419,0.801854796756847,0.974462215042083,0.832652860718481,0.643516650796389,0.944734085200701,0.812115917910885,1.60647003101025,0.807839974484559,1.29092711322263,0.927527301058474,0.676256584017922,0.464032713745182,0.420482285683617,0.426682705935841,1.25994339960254,0.810217869088944,0.777697679970814,0.964320180802354,0.689620465659958,1.20871612140526,0.650652128093925,0.651878533386796,1.13498137693166,0.932601665013779,0.9403318573262,0.590477068751978,1.0815902275984,0.758215840712811,0.727277899960783,0.701228543968266,0.500980895053547,0.726651957856168,0.882892339882761,0.856176148049892,0.948570175907218,0.798960151950539,0.613964635456237,0.959957034462834
