1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
YMR198W,-1.974595,-0.862575,-2.479599,-0.246686,0.657236,0.751396,0.394934,0.803454,0.515377,-0.352571,-0.486687,0.234556,1.114916,0.470974,0.234556,1.058323,0.16699
YBL052C,-0.764236,-1.954049,-2.04493,-0.150981,1.222654,0.398425,1.191624,0.908298,0.343676,-0.845451,-1.014772,0.245365,0.931063,0.505001,0.595226,0.245365,0.187721
YIL126W,-2.811836,-0.860826,-0.570838,-0.598745,0.859197,1.723498,0.652489,0.633059,0.804061,-0.227512,-0.488474,0.305975,0.949123,0.218999,-0.128498,-0.104186,-0.355484
YJR137C,-1.782356,-1.441744,-1.244324,0.384405,2.120182,1.218736,0.538896,-0.092887,-0.707972,-0.727984,-0.591598,-0.010911,0.521584,0.198693,0.231797,0.515799,0.869684
YCR035C,-0.014625,-2.16688,-1.185127,-0.362853,1.243735,0.220638,1.596491,0.611171,0.564109,-1.379776,-0.867267,0.321438,0.540419,0.065138,0.528527,-0.739803,1.024663
YDR219C,-1.143448,-1.68023,-2.067667,0.796151,0.537549,1.390288,-0.029494,0.384384,0.5987,-1.370934,-0.544233,0.44933,0.796151,0.873161,0.5987,0.121032,0.29056
YNL176C,-0.778086,-1.526772,-2.207223,0.107332,1.16835,1.058433,0.99533,0.551081,0.395323,-1.560297,-0.195895,0.313826,1.144325,0.263722,0.474347,0.053071,-0.256866
YLR455W,-1.26498,-0.641185,-2.284375,0.650156,1.315617,0.899102,-0.190477,0.686947,-0.885289,-0.930356,-0.300467,0.172599,0.650156,1.145964,1.25496,0.161853,-0.440225
YCRX04W,-1.746779,0.566987,-0.539484,-0.671974,0.190592,0.7847,1.771315,0.873657,0.075955,-1.548249,-1.107605,-0.995167,0.101635,0.290446,0.873657,1.337116,-0.256804
YIL050W,-1.62919,-2.133831,-1.003751,-0.2448,1.254953,1.587172,0.695779,0.23792,0.23792,-1.041592,-0.717244,0.311255,0.452726,0.758748,0.587752,0.359164,0.287018
YIL106W,-1.793078,-1.121338,-1.401359,-1.174537,-0.281188,0.707936,1.35239,1.130083,1.577118,0.337353,0.140195,-0.410075,-0.67173,0.169489,1.073176,0.255035,0.110531
YBL097W,-2.277045,-1.080507,-0.917777,-0.998117,1.41611,1.216416,1.257351,0.728521,-0.02161,-0.207573,-0.473354,-0.02161,0.375013,0.914516,0.531234,-0.762792,0.321225
YCL014W,-1.025532,-1.071272,-1.373942,-0.452386,0.57923,0.953989,1.482558,1.687585,0.953989,-1.60914,-0.696901,-0.696901,0.029668,0.632878,0.505064,-0.326527,0.42764
YJL099W,0.431325,-2.079728,-1.169015,-0.031238,-0.165332,1.676227,1.578453,0.158763,0.29829,-0.14254,-1.626145,-0.557002,-0.053173,1.106367,0.593758,0.239322,-0.258331
YKL048C,-0.784194,-1.793313,-1.320734,0.211624,0.747316,1.105052,0.728322,-0.352747,-0.119697,-1.668345,-1.007747,-0.045703,1.088102,1.105052,1.105052,0.531718,0.470241
YGL255W,-1.66232,-0.6133,-1.120904,-0.498956,-0.12344,0.439759,1.214048,0.685544,0.345048,-0.580167,-1.45577,-1.062155,0.080899,0.696244,1.231912,1.738013,0.685544
YJL137C,-0.477533,-0.718103,-2.762193,0.053558,1.321018,1.547083,0.623504,0.918464,0.053558,-0.524172,-0.768523,-0.619637,0.130768,0.524256,0.719688,0.297753,-0.319487
YBR104W,-2.605143,0.180216,1.19918,-0.374187,-0.928005,-0.78931,0.739596,0.432092,-0.333198,-0.862715,-0.40723,-0.212656,0.363623,0.526075,1.451432,1.305209,0.315021
YCR073C,-2.376789,-1.221888,-0.110892,-0.244928,0.143467,1.95207,2.015992,0.298147,-0.244928,-0.073439,-0.110892,-0.30391,-0.186868,-0.167736,0.331656,0.604852,-0.30391
YDL198C,-1.523156,-1.523156,-1.530655,-0.520613,0.016871,0.093751,0.008187,-0.377594,-0.453319,-0.422758,-0.048845,0.221461,0.551733,1.123639,1.329442,1.808343,1.24667
YDR389W,-0.607025,0.167174,-1.051825,-2.112187,0.355394,1.545402,1.146893,-0.033171,-0.203217,-0.759926,0.048532,-0.777414,-1.148927,1.203066,0.645827,1.31245,0.268952
YIL131C,-1.737245,-1.362413,-1.279717,0.368971,1.598492,1.694366,0.923095,0.473961,0.368971,-0.72702,-1.100317,-0.257993,0.422224,0.639516,0.325213,0.101477,-0.451582
YMR215W,-1.200731,-1.264914,-1.25494,-0.187787,1.149903,1.37072,1.222773,0.175251,-0.851864,-1.004252,-0.588194,-0.645655,0.262097,1.672051,0.821638,0.677719,-0.353813
YIL158W,-2.190775,-2.001672,-1.058034,-0.596168,0.544248,0.879316,1.022456,0.87039,0.638245,0.098757,-0.134319,-0.457411,-0.387382,0.634794,0.442463,0.938974,0.756116
YGL101W,-1.985889,-1.111711,-1.300782,0.146398,0.261157,0.347332,0.975158,0.236075,-0.170057,-1.50341,-0.559723,0.248644,0.794814,1.153806,1.439531,1.098616,-0.069957
YJR110W,-0.795428,-0.906972,-1.687496,0.465087,0.732941,1.73294,0.948293,0.700803,0.049968,-2.221041,-0.074601,-0.364838,0.534454,0.618837,0.81175,-0.272349,-0.272349
YOL012C,-2.28546,-1.929419,-1.306774,-0.041305,0.969969,0.417724,0.486796,0.056202,-0.233963,0.05163,0.02415,0.535432,0.330434,1.033628,1.069248,1.11301,-0.291301
YBL032W,-1.722014,-0.904587,-1.3792,-0.781815,1.742202,0.425895,1.558679,0.887123,-0.089081,-0.408144,-1.115534,-0.330335,0.339986,0.692925,0.940632,0.425895,-0.282627
YBR043C,-1.374102,-0.773287,-0.733609,-0.515649,0.601663,0.086591,1.368838,0.832157,-0.134625,-0.642453,-1.661488,-1.222799,0.065023,0.337107,1.605355,1.249237,0.912041
YCL012W,-1.425556,-1.044398,-2.101545,-0.449451,0.65209,0.806945,1.269959,1.562049,1.158724,0.718096,-0.751751,-0.751751,0.235516,-0.166756,0.235516,0.04455,0.007763
YCL013W,-1.230713,-0.569306,-1.230713,-0.335228,0.375545,1.086334,1.500726,1.873344,1.086334,-1.230713,-0.249699,-0.839531,0.743202,-1.159138,0.12469,-0.168149,0.223016
YCL062W,-1.309947,-0.97293,-1.951965,0.343151,1.19829,0.900812,1.183623,1.270516,0.900812,-0.813111,-1.241599,-0.69875,0.495972,0.236634,0.369189,0.362687,-0.273382
YCL063W,-1.281532,-0.498452,-1.171905,0.005301,1.298361,1.045442,1.216849,1.785294,0.754191,-1.721372,-0.985863,-0.616012,0.568148,-0.248772,-0.090469,0.045241,-0.104451
YDR324C,-2.437536,1.138736,0.004876,-1.007957,-1.13785,0.958493,1.382303,0.378192,0.6365,-0.24435,-0.673169,-0.781329,-0.605952,0.582186,0.3051,0.858551,0.643204
YDR325W,-1.473801,0.37568,-0.435196,-0.002593,0.484713,1.483741,0.826679,-0.378264,-0.234261,-1.581534,-1.550429,-0.885823,0.088194,1.483741,0.529196,1.40767,-0.137714
YGR108W,-2.190423,-0.659416,-1.187863,-1.151619,-0.356549,0.730142,1.234316,0.994126,0.919263,-0.259837,-0.531522,-0.646175,-0.367663,0.623717,1.003855,0.994126,0.851523
YPR119W,-1.914479,-0.866111,-1.367372,-1.032571,0.091961,0.66454,1.323945,1.565871,1.038305,-0.088321,-0.560291,-0.953964,-0.242103,0.15093,0.757007,0.675647,0.757007
YOL069W,-0.682758,-2.81463,-1.495591,-0.12311,-0.092248,0.8229,0.959243,1.027037,0.72637,-0.291991,-0.004559,-0.736211,0.520842,0.520842,0.620516,0.331484,0.711864
YHR023W,-1.311593,-1.82129,-1.434367,-1.406436,-0.241331,0.584202,1.411293,1.223246,0.74176,0.495153,-0.007731,-0.344625,-0.532612,0.473615,0.594411,0.684119,0.892186
YPL242C,-1.590896,-1.091175,-1.493999,-1.176397,0.766148,0.828084,1.369509,1.718223,0.773974,-0.018823,-0.268445,-0.527578,-0.746216,-0.172534,0.240406,0.726829,0.662889
YJR092W,-2.226863,-1.102673,-1.248118,-1.32588,0.727929,0.35784,0.29111,1.368396,1.344409,0.268276,-0.757775,-0.207506,0.350552,0.35784,0.588301,0.78518,0.428982
