cell cycle(GO:0007049);cell cycle process(GO:0022402);mitotic cell cycle(GO:0000278);cell division(GO:0051301);DNA metabolic process(GO:0006259)
YMR198W;TRUE;TRUE;TRUE;FALSE;FALSE
YBL052C;FALSE;FALSE;FALSE;FALSE;FALSE
YIL126W;FALSE;FALSE;FALSE;FALSE;FALSE
YJR137C;FALSE;FALSE;FALSE;FALSE;FALSE
YCR035C;FALSE;FALSE;FALSE;FALSE;FALSE
YDR219C;FALSE;FALSE;FALSE;FALSE;FALSE
YNL176C;FALSE;FALSE;FALSE;FALSE;FALSE
YLR455W;FALSE;FALSE;FALSE;FALSE;FALSE
YCRX04W;FALSE;FALSE;FALSE;FALSE;FALSE
YIL050W;TRUE;FALSE;FALSE;FALSE;FALSE
YIL106W;TRUE;TRUE;TRUE;TRUE;FALSE
YBL097W;TRUE;TRUE;TRUE;TRUE;TRUE
YCL014W;TRUE;TRUE;FALSE;TRUE;FALSE
YJL099W;FALSE;FALSE;FALSE;FALSE;FALSE
YKL048C;TRUE;TRUE;FALSE;TRUE;FALSE
YGL255W;FALSE;FALSE;FALSE;FALSE;FALSE
YJL137C;FALSE;FALSE;FALSE;FALSE;FALSE
YBR104W;FALSE;FALSE;FALSE;FALSE;FALSE
YCR073C;FALSE;FALSE;FALSE;FALSE;FALSE
YDL198C;FALSE;FALSE;FALSE;FALSE;FALSE
YDR389W;FALSE;FALSE;FALSE;FALSE;FALSE
YIL131C;TRUE;TRUE;TRUE;FALSE;TRUE
YMR215W;FALSE;FALSE;FALSE;FALSE;FALSE
YIL158W;TRUE;FALSE;FALSE;FALSE;FALSE
YGL101W;FALSE;FALSE;FALSE;FALSE;FALSE
YJR110W;FALSE;FALSE;FALSE;FALSE;FALSE
YOL012C;FALSE;FALSE;FALSE;FALSE;TRUE
YBL032W;FALSE;FALSE;FALSE;FALSE;FALSE
YBR043C;FALSE;FALSE;FALSE;FALSE;FALSE
YCL012W;FALSE;FALSE;FALSE;FALSE;FALSE
YCL013W;FALSE;FALSE;FALSE;FALSE;FALSE
YCL062W;FALSE;FALSE;FALSE;FALSE;FALSE
YCL063W;FALSE;FALSE;FALSE;FALSE;FALSE
YDR324C;FALSE;FALSE;FALSE;FALSE;FALSE
YDR325W;TRUE;TRUE;TRUE;TRUE;TRUE
YGR108W;TRUE;TRUE;TRUE;TRUE;FALSE
YPR119W;TRUE;TRUE;TRUE;TRUE;FALSE
YOL069W;TRUE;TRUE;TRUE;TRUE;FALSE
YHR023W;TRUE;TRUE;FALSE;TRUE;FALSE
YPL242C;FALSE;FALSE;FALSE;FALSE;FALSE
YJR092W;TRUE;TRUE;FALSE;TRUE;FALSE
YLR353W;TRUE;TRUE;FALSE;TRUE;FALSE
YCL037C;FALSE;FALSE;FALSE;FALSE;FALSE
YMR001C;TRUE;TRUE;TRUE;TRUE;TRUE
YGL021W;TRUE;TRUE;TRUE;FALSE;FALSE
YOR025W;FALSE;FALSE;FALSE;FALSE;FALSE
YDR146C;FALSE;FALSE;FALSE;FALSE;FALSE
YLR131C;TRUE;TRUE;TRUE;TRUE;FALSE
YNL053W;TRUE;FALSE;FALSE;FALSE;FALSE
YPR167C;FALSE;FALSE;FALSE;FALSE;FALSE
YML033W;FALSE;FALSE;FALSE;FALSE;FALSE
YML034W;FALSE;FALSE;FALSE;FALSE;FALSE
YOR315W;FALSE;FALSE;FALSE;FALSE;FALSE
YHL028W;FALSE;FALSE;FALSE;FALSE;FALSE
YPL127C;FALSE;FALSE;FALSE;FALSE;TRUE
