0HR,15MIN,30MIN,1HR,2HR,4HR,6HR,8HR,12HR,16HR,20HR,24HR,UNSYN
MTERF2,1.5962,0.534,-1.8179,-0.035017,1.8996,0.30639,-0.71784,-0.33849,-1.1351,-0.30056,0.30639,-0.22469,-0.072951
SEPP1,0.095122,2.0874,0.26687,0.61037,0.85082,-1.485,-0.83232,-0.52317,-0.52317,-0.24838,-0.83232,-0.76362,1.2974
PIN1,0.84243,1.359,0.68745,0.84243,0.32584,-0.8623,-0.13908,0.22253,-0.34571,-0.65566,-1.3789,-1.9471,1.0491
EPB41L2,1.1363,0.98137,1.1363,0.36156,0.30991,-0.30991,-0.61982,-0.51651,-1.6012,-0.87807,-0.98137,-0.67147,1.6528
LUC7L3,0.48347,1.4065,1.7581,0.83508,0.1312622,-0.043952,-1.0109,-0.17581,-0.96694,-1.3625,-0.30766,-1.2746,0.65927
AA059077,0.23452,1.6489,1.6175,0.61169,0.54883,0.70598,-0.42552,-0.48838,-0.45695,-0.67697,-0.80269,-1.777,-0.73983
LUM,0.64514,1.2043,1.0179,0.64514,0.94334,-0.13763,0.57059,0.75696,-0.88313,-0.95767,-1.3677,-1.6286,-0.80858
OPN3,0.28406,1.3116,1.408,0.70151,0.28406,-0.0049402,0.99051,0.44462,-1.0646,-1.0967,-1.2252,-1.5463,-0.48661
CPT1B,0.65322,0.6895,2.0322,1.4153,-0.10887,0.10887,-0.14516,-0.32661,-0.65322,-0.87095,-1.4153,-1.2701,-0.10887
PLPPR4,1.0642,0.47966,1.1812,1.0642,0.32377,0.36274,0.011991,-0.8454,-1.8977,-0.72848,-1.1572,-0.8454,0.9863
CLDN11,1.0385,1.4728,0.74892,1.0747,0.53176,0.53176,-0.047329,-0.33687,-1.2779,-1.2417,-1.3141,-1.2055,0.025057
FAM69A,0.75974,1.6334,1.5575,0.5698,0.037987,0.41786,0.26591,-0.18993,-1.5195,-0.98766,-1.0636,-1.0636,-0.41786
SASH1,1.0516,0.90057,1.7692,1.3538,0.22078,-0.42123,-0.72336,-0.68559,-1.4409,-0.42123,-0.79889,-0.98772,0.18302
