cell cycle process(GO:0022402);cell cycle(GO:0007049);cellular process involved in reproduction(GO:0048610);reproduction(GO:0000003);translation(GO:0006412);cellular component assembly(GO:0022607)
YAL025C;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YAL036C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YAL040C;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
YDL037c;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YDR184C;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE
YDR299W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YDR380W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YDR398W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YER006w;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YER064c;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YER126c;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YGL171W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YIL122W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YIL133C;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YKL009W;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
YKL143W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLR175W;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
YLR196W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLR222C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLR062C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLR129w;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLL011w;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YMR093W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YMR131C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YMR217W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YNL060C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YNL061W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YNL062C;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YNL174W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YNL175C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YNR038W;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
YNR053C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YOR051C;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YOL077C;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
YOR206W;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
YOR306C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YOR309C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YOR310C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YOR312C;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YPL012W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YBR072W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YBR196C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YCR012w;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YCR013C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YDL234C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YDR050C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YDR258C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YER049w;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YER067w;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
