"1","2"
"AT4G16610",1,1
"AT4G29010",1,1
"AT2G34420",1,1
"AT2G43080",4,4
"AT3G12120",3,2
"AT3G04720",4,4
"AB000623",3,2
"AT1G55020",1,1
"T04323",3,2
"AT1G76100",4,4
"AT3G15730",1,1
"AT3G12500",4,4
"AT5G38430",1,1
"AT1G33960",4,4
"AT1G32060",1,3
"AT5G65110",4,4
"AT1G28670",2,2
"AT4G39260",1,1
"AT2G24180",2,2
"AT2G26740",1,1
"AT5G35630",1,1
"AT3G15350",1,1
"AT2G35790",1,1
"AT3G06860",1,1
"Y11607",2,2
"AT2G34660",1,1
"AT2G33150",1,1
"AT2G23430",4,4
"AT2G39780",4,4
"AT4G25100",1,1
"AB003040",2,2
"AT1G78380",1,1
"AT1G37130",1,1
"Z56278",2,2
"AT1G07890",1,1
"X66017",2,2
"AT4G39330",1,1
"AT5G13930",1,1
"AT3G20230",1,1
"AT4G39980",1,1
"AT1G31580",4,4
"AT4G37980",4,4
"AT2G34770",4,3
"AJ000470",1,1
"L15389",1,1
"AF062901",1,1
"AT4G00860",4,4
"AT3G57260",1,3
"AT4G20360",1,1
"AT3G16480",1,1
"AT3G16520",5,5
"AT2G42010",4,4
"AT2G02990",1,1
"AT1G76490",1,1
"X99793",5,5
"AT4G38530",4,3
"AT1G67980",1,1
"AT5G39190",1,1
"AT3G02520",1,1
"AT3G59700",4,4
"AT4G09320",1,1
"AT3G44300",4,4
"AT5G24090",1,1
"AT3G25230",1,1
"AT1G08830",1,1
"AT1G51680",1,1
"AT1G05010",4,3
"AT4G16760",4,3
"AT5G42650",1,3
"AT5G05730",4,3
"AT1G25220",4,4
"AT3G29200",1,1
"AT4G31500",4,4
"AT3G13920",1,1
"AT3G11170",1,1
"Z26426",5,5
"AT2G29450",1,1
"AF087932",5,5
"AT5G02500",4,4
"AT1G51760",1,1
"AT3G45140",1,1
"AT1G76680",1,1
"AT2G37040",1,1
"AT3G53260",1,1
"AT1G56190",1,1
"Y14590",5,3
"AT3G30775",1,1
"AT5G42180",1,1
"AT4G13940",1,1
"AT3G54640",1,3
"AT5G54810",1,1
"AT3G50970",4,4
"AT3G18780",1,1
"AT1G16060",1,1
"AT5G54160",1,1
"X16432",1,1
"AT1G64280",4,3
"AT5G66570",1,3
"AT4G01850",1,1
"AT1G01470",4,3
"AT2G20340",1,1
"AT3G47290",4,3
"AT2G14610",4,3
"AT1G75040",1,3
"AT5G20620",4,4
"AT2G26330",4,4
"AT2G25080",4,4
"AT4G14980",3,4
"AT1G67750",3,4
"AT1G67550",1,1
"AT5G26000",4,4
"AT5G25980",4,4
"AT2G05510",1,3
"AT1G04820",1,3
"AT1G01480",1,1
"AT3G28930",4,3
"AT4G20890",1,1
"AT2G45820",1,3
"AT3G15210",4,3
"AT5G47770",1,1
"AT2G28740",1,1
"AT2G14850",1,3
"AT4G08500",4,3
"AT3G45640",4,3
"AT5G52350",1,3
"AT3G20600",4,4
"AT5G06940",4,3
"AT1G53840",4,3
"AT2G41110",4,4
"AT5G37770",1,3
"AT2G41100",1,3
"AT5G57560",1,3
"AT1G72260",4,3
