"1" "2" "3" "4" "5" "6"
"AT4G16610" 1 3 3 4 1 1
"AT4G29010" 3 3 5 3 3 1
"AT2G34420" 4 4 5 2 3 1
"AT2G43080" 3 4 5 3 2 1
"AT3G12120" 3 1 2 3 3 2
"AT3G04720" 5 2 1 5 4 5
"AB000623" 3 1 2 3 3 2
"AT1G55020" 4 3 4 3 4 1
"T04323" 3 1 2 3 3 5
"AT1G76100" 1 4 1 3 2 5
"AT3G15730" 5 3 3 3 4 1
"AT3G12500" 4 2 1 1 4 5
"AT5G38430" 1 4 5 3 3 1
"AT1G33960" 1 2 4 1 4 1
"AT1G32060" 4 3 4 3 1 1
"AT5G65110" 5 4 5 2 4 1
"AT1G28670" 3 3 5 3 3 2
"AT4G39260" 4 2 4 4 4 1
"AT2G24180" 2 3 5 3 5 2
"AT2G26740" 5 5 4 1 3 1
"AT5G35630" 5 3 5 3 3 1
"AT3G15350" 3 3 3 3 3 1
"AT2G35790" 4 4 5 2 3 1
"AT3G06860" 2 4 5 2 1 1
"Y11607" 2 3 5 3 5 2
"AT2G34660" 2 4 5 5 4 5
"AT2G33150" 2 4 5 2 1 1
"AT2G23430" 3 3 3 3 4 1
"AT2G39780" 4 3 5 2 1 5
"AT4G25100" 4 5 4 1 1 1
"AB003040" 2 3 5 3 5 2
"AT1G78380" 2 4 5 3 1 1
"AT1G37130" 5 3 5 3 3 1
"Z56278" 2 3 5 3 5 2
"AT1G07890" 2 4 5 3 1 1
"X66017" 5 3 5 2 5 2
"AT4G39330" 5 4 5 3 1 1
"AT5G13930" 4 4 4 3 1 1
"AT3G20230" 2 4 5 3 2 1
"AT4G39980" 1 4 4 4 4 1
"AT1G31580" 1 2 4 1 1 1
"AT4G37980" 1 2 1 3 1 1
"AT2G34770" 5 4 5 3 1 5
"AJ000470" 2 5 5 2 5 3
"L15389" 2 3 5 2 5 1
"AF062901" 3 4 3 2 5 1
"AT4G00860" 1 2 4 1 4 1
"AT3G57260" 1 2 1 3 1 1
"AT4G20360" 3 3 5 3 2 1
"AT3G16480" 2 4 5 2 1 1
"AT3G16520" 2 3 5 2 5 3
"AT2G42010" 4 2 1 1 4 1
"AT2G02990" 3 3 3 3 1 1
"AT1G76490" 1 4 5 3 1 1
"X99793" 2 5 1 2 5 3
"AT4G38530" 4 5 4 5 1 5
"AT1G67980" 1 3 1 3 1 1
"AT5G39190" 4 5 4 1 1 1
"AT3G02520" 2 4 5 3 1 5
"AT3G59700" 1 2 1 5 4 5
"AT4G09320" 4 5 4 4 3 1
"AT3G44300" 1 2 4 4 4 1
"AT5G24090" 4 5 4 4 1 1
"AT3G25230" 5 3 4 4 1 1
"AT1G08830" 1 2 4 3 1 1
"AT1G51680" 1 4 1 1 1 1
"AT1G05010" 1 2 1 4 1 5
"AT4G16760" 1 2 4 1 1 1
"AT5G42650" 1 4 4 1 1 5
"AT5G05730" 1 2 4 4 1 1
"AT1G25220" 1 2 4 4 1 1
"AT3G29200" 1 4 4 1 2 1
"AT4G31500" 1 4 4 4 1 1
"AT3G13920" 1 4 4 3 1 1
"AT3G11170" 1 4 4 1 2 1
"Z26426" 1 5 1 1 1 4
"AT2G29450" 1 5 4 1 4 1
"AF087932" 1 3 4 1 1 5
"AT5G02500" 1 2 4 3 1 1
"AT1G51760" 4 4 4 2 1 1
"AT3G45140" 1 4 4 1 1 1
"AT1G76680" 1 4 4 3 1 1
"AT2G37040" 1 4 4 1 1 1
"AT3G53260" 1 4 4 1 1 1
"AT1G56190" 1 4 1 3 1 1
"Y14590" 1 5 4 1 2 5
"AT3G30775" 1 4 4 1 1 1
"AT5G42180" 1 4 4 3 2 1
"AT4G13940" 2 3 5 3 1 1
"AT3G54640" 1 2 4 4 1 1
"AT5G54810" 1 4 4 4 2 1
"AT3G50970" 4 5 4 1 4 1
"AT3G18780" 5 3 4 3 1 5
"AT1G16060" 1 3 4 4 1 1
"AT5G54160" 1 4 4 3 1 1
"X16432" 1 5 4 4 2 4
"AT1G64280" 1 2 4 4 1 1
"AT5G66570" 1 2 1 4 1 1
"AT4G01850" 1 5 4 4 1 1
"AT1G01470" 4 2 4 1 4 1
"AT2G20340" 1 4 4 1 2 1
"AT3G47290" 4 5 4 5 4 5
"AT2G14610" 5 2 4 5 4 1
"AT1G75040" 1 2 4 3 1 1
"AT5G20620" 5 4 5 2 4 1
"AT2G26330" 3 2 3 3 4 5
"AT2G25080" 2 4 5 5 4 1
"AT4G14980" 5 2 3 5 4 5
"AT1G67750" 5 2 3 5 4 4
"AT1G67550" 4 4 4 2 1 1
"AT5G26000" 1 2 4 5 4 1
"AT5G25980" 5 2 3 5 4 1
"AT2G05510" 4 5 4 1 1 1
"AT1G04820" 1 4 5 3 4 5
"AT1G01480" 1 3 1 4 1 1
"AT3G28930" 1 2 4 4 1 5
"AT4G20890" 2 4 5 3 2 1
"AT2G45820" 4 2 4 1 1 1
"AT3G15210" 1 5 4 5 4 1
"AT5G47770" 1 4 1 3 1 1
"AT2G28740" 5 2 4 1 4 1
"AT2G14850" 4 2 4 1 4 1
"AT4G08500" 1 2 4 4 1 5
"AT3G45640" 1 2 4 5 4 5
"AT5G52350" 1 3 1 5 1 5
"AT3G20600" 4 2 1 5 4 5
"AT5G06940" 1 2 3 5 4 5
"AT1G53840" 1 2 4 5 4 4
"AT2G41110" 1 4 4 2 2 5
"AT5G37770" 4 2 4 4 4 1
"AT2G41100" 4 2 4 5 1 1
"AT5G57560" 4 5 4 4 4 1
"AT1G72260" 4 5 1 5 4 1
