"1","2","3","4"
"AT4G16610",1,1,2,4
"AT4G29010",2,4,1,4
"AT2G34420",5,3,5,3
"AT2G43080",2,2,1,1
"AT3G12120",1,1,1,1
"AT3G04720",4,5,4,5
"AB000623",1,1,1,1
"AT1G55020",5,3,5,3
"T04323",1,1,1,1
"AT1G76100",2,4,5,4
"AT3G15730",4,4,4,4
"AT3G12500",4,5,4,5
"AT5G38430",3,1,3,4
"AT1G33960",4,5,1,1
"AT1G32060",5,4,5,4
"AT5G65110",4,4,2,2
"AT1G28670",1,1,1,1
"AT4G39260",5,3,5,3
"AT2G24180",1,1,1,1
"AT2G26740",4,5,1,1
"AT5G35630",3,4,3,4
"AT3G15350",3,4,3,4
"AT2G35790",5,3,5,3
"AT3G06860",4,4,2,2
"Y11607",1,1,1,1
"AT2G34660",4,5,4,5
"AT2G33150",5,4,2,2
"AT2G23430",4,4,4,4
"AT2G39780",5,3,5,3
"AT4G25100",5,3,5,3
"AB003040",1,1,1,1
"AT1G78380",5,4,2,2
"AT1G37130",3,1,3,4
"Z56278",1,1,1,1
"AT1G07890",1,4,2,4
"X66017",1,1,1,1
"AT4G39330",1,1,4,5
"AT5G13930",1,1,3,4
"AT3G20230",2,2,2,2
"AT4G39980",4,4,1,1
"AT1G31580",1,4,1,1
"AT4G37980",1,1,4,5
"AT2G34770",1,4,4,4
"AJ000470",1,1,1,1
"L15389",1,1,1,1
"AF062901",1,1,1,1
"AT4G00860",4,5,1,1
"AT3G57260",1,1,4,4
"AT4G20360",2,4,2,4
"AT3G16480",1,4,2,2
"AT3G16520",1,1,1,1
"AT2G42010",4,5,1,1
"AT2G02990",5,3,5,3
"AT1G76490",1,4,5,4
"X99793",1,1,1,1
"AT4G38530",5,3,5,3
"AT1G67980",1,1,1,4
"AT5G39190",5,3,5,3
"AT3G02520",1,1,4,4
"AT3G59700",4,5,4,5
"AT4G09320",5,3,1,1
"AT3G44300",4,5,1,1
"AT5G24090",1,1,3,4
"AT3G25230",1,4,5,4
"AT1G08830",5,4,1,1
"AT1G51680",1,1,1,4
"AT1G05010",1,4,4,4
"AT4G16760",1,1,4,4
"AT5G42650",1,4,1,4
"AT5G05730",1,4,1,4
"AT1G25220",4,4,1,4
"AT3G29200",2,2,1,1
"AT4G31500",1,4,1,4
"AT3G13920",1,4,1,1
"AT3G11170",2,4,1,1
"Z26426",1,1,1,1
"AT2G29450",4,5,1,1
"AF087932",1,1,1,1
"AT5G02500",4,4,1,1
"AT1G51760",5,3,2,2
"AT3G45140",1,4,1,4
"AT1G76680",5,4,1,4
"AT2G37040",1,1,1,1
"AT3G53260",1,1,1,1
"AT1G56190",2,4,1,4
"Y14590",1,1,1,1
"AT3G30775",4,4,1,1
"AT5G42180",2,2,2,2
"AT4G13940",5,4,2,2
"AT3G54640",1,1,1,4
"AT5G54810",2,2,1,1
"AT3G50970",4,5,1,1
"AT3G18780",5,4,5,4
"AT1G16060",4,4,1,4
"AT5G54160",1,1,5,4
"X16432",1,1,1,1
"AT1G64280",1,1,4,4
"AT5G66570",1,4,4,4
"AT4G01850",5,4,1,1
"AT1G01470",4,5,1,1
"AT2G20340",1,4,1,1
"AT3G47290",4,5,4,5
"AT2G14610",1,1,1,4
"AT1G75040",1,1,4,4
"AT5G20620",2,2,2,2
"AT2G26330",4,5,4,5
"AT2G25080",1,1,4,4
"AT4G14980",1,1,1,1
"AT1G67750",1,1,1,1
"AT1G67550",5,3,5,3
"AT5G26000",4,5,4,5
"AT5G25980",4,5,4,5
"AT2G05510",5,3,5,3
"AT1G04820",5,4,2,2
"AT1G01480",1,4,2,4
"AT3G28930",1,1,4,4
"AT4G20890",5,3,2,2
"AT2G45820",5,3,5,3
"AT3G15210",4,5,4,5
"AT5G47770",1,4,1,4
"AT2G28740",4,4,1,1
"AT2G14850",5,3,5,3
"AT4G08500",1,4,4,4
"AT3G45640",1,1,4,4
"AT5G52350",1,1,4,4
"AT3G20600",4,5,1,1
"AT5G06940",1,1,1,1
"AT1G53840",1,1,1,1
"AT2G41110",2,2,2,2
"AT5G37770",4,4,4,4
"AT2G41100",1,1,5,3
"AT5G57560",4,5,4,5
"AT1G72260",5,3,5,3
