"1","2","3","4"
"AT4G16610",3,3,3,3
"AT4G29010",6,6,6,6
"AT2G34420",3,3,3,3
"AT2G43080",1,4,4,1
"AT3G12120",5,5,5,5
"AT3G04720",3,1,3,1
"AB000623",6,6,6,6
"AT1G55020",3,3,3,3
"T04323",1,6,1,6
"AT1G76100",1,4,4,6
"AT3G15730",3,3,3,3
"AT3G12500",1,1,1,1
"AT5G38430",3,3,3,3
"AT1G33960",6,1,6,1
"AT1G32060",3,3,3,3
"AT5G65110",3,1,3,1
"AT1G28670",4,6,6,4
"AT4G39260",3,3,3,3
"AT2G24180",4,5,5,4
"AT2G26740",3,3,3,3
"AT5G35630",3,3,3,3
"AT3G15350",1,3,1,3
"AT2G35790",3,3,3,3
"AT3G06860",3,3,3,3
"Y11607",5,5,5,5
"AT2G34660",3,3,3,3
"AT2G33150",3,3,3,3
"AT2G23430",6,6,6,6
"AT2G39780",1,6,1,6
"AT4G25100",3,3,3,3
"AB003040",4,5,5,4
"AT1G78380",3,3,3,3
"AT1G37130",3,3,3,3
"Z56278",5,5,5,5
"AT1G07890",3,3,3,3
"X66017",5,5,5,5
"AT4G39330",3,3,3,3
"AT5G13930",3,3,3,3
"AT3G20230",3,4,4,3
"AT4G39980",3,3,3,3
"AT1G31580",3,1,3,1
"AT4G37980",3,1,3,1
"AT2G34770",1,4,1,6
"AJ000470",3,3,3,3
"L15389",3,3,3,3
"AF062901",3,3,3,3
"AT4G00860",3,1,3,1
"AT3G57260",3,3,3,3
"AT4G20360",6,6,6,6
"AT3G16480",3,3,3,3
"AT3G16520",2,2,2,2
"AT2G42010",3,1,3,1
"AT2G02990",1,3,1,3
"AT1G76490",3,3,3,3
"X99793",2,2,2,2
"AT4G38530",6,6,6,6
"AT1G67980",3,3,3,3
"AT5G39190",3,3,3,3
"AT3G02520",1,4,1,3
"AT3G59700",1,1,1,1
"AT4G09320",3,3,3,3
"AT3G44300",3,1,3,1
"AT5G24090",3,3,3,3
"AT3G25230",3,3,3,3
"AT1G08830",3,3,3,3
"AT1G51680",3,3,3,3
"AT1G05010",6,1,6,1
"AT4G16760",3,1,3,1
"AT5G42650",3,3,3,3
"AT5G05730",3,1,3,1
"AT1G25220",3,1,3,1
"AT3G29200",3,4,4,3
"AT4G31500",3,4,4,1
"AT3G13920",3,3,3,3
"AT3G11170",3,4,4,3
"Z26426",2,4,4,2
"AT2G29450",3,3,3,3
"AF087932",2,2,2,2
"AT5G02500",6,1,6,1
"AT1G51760",3,3,3,3
"AT3G45140",3,3,3,3
"AT1G76680",3,3,3,3
"AT2G37040",3,3,3,3
"AT3G53260",3,3,3,3
"AT1G56190",3,4,4,3
"Y14590",2,4,4,2
"AT3G30775",3,3,3,3
"AT5G42180",3,4,4,3
"AT4G13940",3,3,3,3
"AT3G54640",3,3,3,3
"AT5G54810",3,3,3,3
"AT3G50970",3,1,3,1
"AT3G18780",3,3,3,3
"AT1G16060",3,3,3,3
"AT5G54160",3,3,3,3
"X16432",3,4,4,3
"AT1G64280",6,1,6,1
"AT5G66570",6,6,6,6
"AT4G01850",3,3,3,3
"AT1G01470",3,1,3,1
"AT2G20340",3,4,4,3
"AT3G47290",6,1,6,1
"AT2G14610",3,1,3,1
"AT1G75040",6,6,6,6
"AT5G20620",6,4,4,1
"AT2G26330",6,6,6,6
"AT2G25080",6,1,6,1
"AT4G14980",6,6,6,6
"AT1G67750",6,6,6,6
"AT1G67550",3,3,3,3
"AT5G26000",6,1,6,1
"AT5G25980",6,1,6,1
"AT2G05510",3,3,3,3
"AT1G04820",3,3,3,3
"AT1G01480",3,3,3,3
"AT3G28930",6,1,6,1
"AT4G20890",3,4,4,3
"AT2G45820",3,3,3,3
"AT3G15210",3,1,3,1
"AT5G47770",3,3,3,3
"AT2G28740",3,3,3,3
"AT2G14850",3,3,3,3
"AT4G08500",6,6,6,6
"AT3G45640",6,6,6,6
"AT5G52350",6,6,6,6
"AT3G20600",6,1,6,1
"AT5G06940",6,1,6,1
"AT1G53840",6,1,4,1
"AT2G41110",6,4,4,6
"AT5G37770",3,3,3,3
"AT2G41100",3,3,3,3
"AT5G57560",3,3,3,3
"AT1G72260",3,1,3,1
