"1" "2" "3" "4" "5" "6"
"AT4G16610" 1 2 2 3 5 3
"AT4G29010" 3 2 3 1 6 5
"AT2G34420" 4 3 5 6 2 5
"AT2G43080" 1 3 6 4 5 3
"AT3G12120" 1 1 1 1 1 1
"AT3G04720" 6 1 4 1 4 2
"AB000623" 1 1 1 1 1 1
"AT1G55020" 4 6 2 1 3 6
"T04323" 1 1 1 1 1 1
"AT1G76100" 1 5 2 6 2 5
"AT3G15730" 5 6 2 2 4 2
"AT3G12500" 6 1 4 2 4 2
"AT5G38430" 1 3 6 5 3 5
"AT1G33960" 6 1 2 1 1 2
"AT1G32060" 1 6 2 6 2 6
"AT5G65110" 5 3 3 2 4 5
"AT1G28670" 1 1 1 1 1 1
"AT4G39260" 4 1 2 1 4 6
"AT2G24180" 1 1 1 1 1 1
"AT2G26740" 5 6 4 1 4 6
"AT5G35630" 1 6 2 5 2 2
"AT3G15350" 1 4 1 5 3 4
"AT2G35790" 4 3 4 6 5 6
"AT3G06860" 2 4 3 2 4 5
"Y11607" 1 1 1 1 1 1
"AT2G34660" 2 3 3 2 1 5
"AT2G33150" 2 3 3 3 4 5
"AT2G23430" 3 2 1 1 6 5
"AT2G39780" 3 2 1 6 6 6
"AT4G25100" 4 4 4 5 4 6
"AB003040" 1 1 1 1 1 1
"AT1G78380" 2 4 3 1 4 5
"AT1G37130" 5 3 3 5 1 5
"Z56278" 1 1 1 1 1 1
"AT1G07890" 2 6 5 3 4 5
"X66017" 1 1 1 1 1 1
"AT4G39330" 5 6 6 1 5 5
"AT5G13930" 4 6 2 3 3 6
"AT3G20230" 1 3 5 4 5 3
"AT4G39980" 6 3 4 1 1 4
"AT1G31580" 6 1 4 1 2 6
"AT4G37980" 6 1 4 3 5 5
"AT2G34770" 1 3 6 3 5 2
"AJ000470" 1 1 1 1 1 1
"L15389" 1 1 1 1 1 1
"AF062901" 1 1 1 1 1 1
"AT4G00860" 6 1 4 1 4 5
"AT3G57260" 6 5 2 3 2 2
"AT4G20360" 3 2 6 4 6 5
"AT3G16480" 2 4 5 6 4 5
"AT3G16520" 1 1 1 1 1 1
"AT2G42010" 6 1 4 2 4 6
"AT2G02990" 4 3 1 3 3 6
"AT1G76490" 2 3 6 3 5 6
"X99793" 1 1 1 1 1 1
"AT4G38530" 4 5 1 2 6 6
"AT1G67980" 6 5 2 3 5 4
"AT5G39190" 4 1 2 6 2 6
"AT3G02520" 2 3 3 3 5 5
"AT3G59700" 6 5 1 2 1 2
"AT4G09320" 4 4 6 1 4 6
"AT3G44300" 6 1 4 1 1 4
"AT5G24090" 4 6 6 1 4 6
"AT3G25230" 5 6 2 1 4 6
"AT1G08830" 4 1 4 1 4 6
"AT1G51680" 1 5 2 3 5 5
"AT1G05010" 6 5 2 3 2 2
"AT4G16760" 6 6 2 3 2 5
"AT5G42650" 1 6 2 3 2 5
"AT5G05730" 1 6 2 1 4 5
"AT1G25220" 1 6 2 1 4 6
"AT3G29200" 1 3 6 4 5 4
"AT4G31500" 1 6 2 1 2 5
"AT3G13920" 1 4 6 1 4 3
"AT3G11170" 1 3 6 4 4 4
"Z26426" 1 1 1 1 1 1
"AT2G29450" 2 3 4 2 3 5
"AF087932" 1 1 1 1 1 1
"AT5G02500" 6 1 4 1 4 5
"AT1G51760" 4 3 5 6 4 6
"AT3G45140" 1 6 2 3 4 5
"AT1G76680" 5 3 6 3 4 6
"AT2G37040" 1 3 4 3 4 5
"AT3G53260" 1 3 4 3 5 5
"AT1G56190" 1 4 4 4 4 5
"Y14590" 1 1 1 1 1 1
"AT3G30775" 1 3 4 1 4 6
"AT5G42180" 1 4 6 4 5 3
"AT4G13940" 5 4 5 1 4 5
"AT3G54640" 6 6 2 3 2 2
"AT5G54810" 1 3 4 1 4 4
"AT3G50970" 6 1 4 2 4 6
"AT3G18780" 5 4 1 1 4 2
"AT1G16060" 3 2 2 1 4 6
"AT5G54160" 1 3 6 3 5 5
"X16432" 1 1 1 1 1 1
"AT1G64280" 6 6 2 3 2 6
"AT5G66570" 6 5 2 3 2 2
"AT4G01850" 5 4 4 1 4 6
"AT1G01470" 4 6 4 1 4 6
"AT2G20340" 1 3 4 3 5 4
"AT3G47290" 6 5 2 2 1 5
"AT2G14610" 6 5 2 3 4 6
"AT1G75040" 6 5 2 3 2 2
"AT5G20620" 2 4 5 6 5 3
"AT2G26330" 3 1 1 2 6 2
"AT2G25080" 2 6 3 3 5 5
"AT4G14980" 1 1 1 1 1 1
"AT1G67750" 1 1 1 1 1 1
"AT1G67550" 4 3 2 6 2 6
"AT5G26000" 6 1 2 2 1 5
"AT5G25980" 6 1 2 2 1 5
"AT2G05510" 4 1 2 6 2 6
"AT1G04820" 2 4 3 3 4 5
"AT1G01480" 1 5 5 3 5 3
"AT3G28930" 6 6 2 3 2 2
"AT4G20890" 2 4 3 4 4 6
"AT2G45820" 4 1 2 6 2 6
"AT3G15210" 6 6 2 2 1 5
"AT5G47770" 1 5 3 3 5 5
"AT2G28740" 2 6 2 1 4 6
"AT2G14850" 4 1 2 6 2 6
"AT4G08500" 6 6 2 3 2 6
"AT3G45640" 6 6 2 3 2 6
"AT5G52350" 6 5 1 3 6 2
"AT3G20600" 6 1 4 2 1 6
"AT5G06940" 1 1 1 1 1 1
"AT1G53840" 1 1 1 1 1 1
"AT2G41110" 3 4 5 6 6 4
"AT5G37770" 4 6 2 1 4 6
"AT2G41100" 4 6 2 3 3 6
"AT5G57560" 4 6 6 1 3 6
"AT1G72260" 6 1 4 2 4 6
