"1","2","3"
"AT4G16610",5,3,2
"AT4G29010",3,5,2
"AT2G34420",3,5,3
"AT2G43080",3,3,3
"AT3G12120",1,1,1
"AT3G04720",1,1,1
"AB000623",1,1,1
"AT1G55020",1,1,2
"T04323",1,1,1
"AT1G76100",5,5,5
"AT3G15730",4,4,4
"AT3G12500",1,1,1
"AT5G38430",3,5,3
"AT1G33960",6,1,6
"AT1G32060",5,5,5
"AT5G65110",3,5,3
"AT1G28670",1,1,1
"AT4G39260",1,1,1
"AT2G24180",1,1,1
"AT2G26740",1,1,1
"AT5G35630",2,2,3
"AT3G15350",4,4,4
"AT2G35790",3,3,3
"AT3G06860",4,5,4
"Y11607",1,1,1
"AT2G34660",2,5,3
"AT2G33150",3,5,3
"AT2G23430",2,5,2
"AT2G39780",3,5,2
"AT4G25100",4,4,4
"AB003040",1,1,1
"AT1G78380",4,5,4
"AT1G37130",3,5,3
"Z56278",1,1,1
"AT1G07890",4,5,4
"X66017",1,1,1
"AT4G39330",3,5,3
"AT5G13930",3,2,3
"AT3G20230",3,3,3
"AT4G39980",6,1,6
"AT1G31580",1,1,1
"AT4G37980",1,1,1
"AT2G34770",2,6,3
"AJ000470",1,1,1
"L15389",1,1,1
"AF062901",1,1,1
"AT4G00860",1,1,1
"AT3G57260",5,1,5
"AT4G20360",3,6,2
"AT3G16480",4,4,4
"AT3G16520",1,1,1
"AT2G42010",1,1,1
"AT2G02990",3,2,3
"AT1G76490",3,4,3
"X99793",1,1,1
"AT4G38530",2,5,6
"AT1G67980",5,3,5
"AT5G39190",1,1,1
"AT3G02520",2,5,3
"AT3G59700",6,1,6
"AT4G09320",4,4,4
"AT3G44300",6,1,6
"AT5G24090",3,1,3
"AT3G25230",3,4,3
"AT1G08830",1,1,1
"AT1G51680",5,5,5
"AT1G05010",5,1,5
"AT4G16760",5,1,5
"AT5G42650",5,5,5
"AT5G05730",5,1,5
"AT1G25220",6,1,2
"AT3G29200",3,3,3
"AT4G31500",3,5,3
"AT3G13920",4,4,4
"AT3G11170",3,6,3
"Z26426",1,1,1
"AT2G29450",3,5,3
"AF087932",1,1,1
"AT5G02500",1,1,1
"AT1G51760",3,4,3
"AT3G45140",5,5,5
"AT1G76680",3,4,3
"AT2G37040",3,5,3
"AT3G53260",3,5,3
"AT1G56190",4,5,4
"Y14590",1,1,1
"AT3G30775",3,1,3
"AT5G42180",4,3,4
"AT4G13940",4,5,4
"AT3G54640",5,1,5
"AT5G54810",3,1,3
"AT3G50970",1,1,1
"AT3G18780",2,2,4
"AT1G16060",5,1,2
"AT5G54160",3,5,3
"X16432",1,1,1
"AT1G64280",5,1,5
"AT5G66570",5,1,5
"AT4G01850",4,4,4
"AT1G01470",1,1,1
"AT2G20340",3,5,3
"AT3G47290",6,6,6
"AT2G14610",5,1,5
"AT1G75040",5,1,5
"AT5G20620",4,4,4
"AT2G26330",1,1,1
"AT2G25080",3,5,3
"AT4G14980",1,1,1
"AT1G67750",1,1,1
"AT1G67550",3,1,3
"AT5G26000",1,1,1
"AT5G25980",1,1,1
"AT2G05510",1,1,1
"AT1G04820",4,4,4
"AT1G01480",5,3,5
"AT3G28930",5,1,5
"AT4G20890",4,4,4
"AT2G45820",1,1,1
"AT3G15210",5,1,5
"AT5G47770",5,5,5
"AT2G28740",1,1,2
"AT2G14850",1,1,1
"AT4G08500",5,1,5
"AT3G45640",5,1,5
"AT5G52350",2,2,6
"AT3G20600",1,1,1
"AT5G06940",1,1,1
"AT1G53840",1,1,1
"AT2G41110",4,4,4
"AT5G37770",1,1,1
"AT2G41100",5,1,5
"AT5G57560",3,1,3
"AT1G72260",1,1,1
