"1","2","3"
"YMR198W",2,4,4
"YBL052C",5,4,4
"YIL126W",5,4,4
"YJR137C",1,1,1
"YCR035C",5,4,4
"YDR219C",1,1,1
"YNL176C",1,1,1
"YLR455W",5,4,4
"YCRX04W",5,5,4
"YIL050W",2,2,2
"YIL106W",2,5,2
"YBL097W",5,4,4
"YCL014W",1,1,1
"YJL099W",1,4,4
"YKL048C",1,5,1
"YGL255W",1,4,4
"YJL137C",5,4,4
"YBR104W",1,3,3
"YCR073C",2,5,2
"YDL198C",1,3,3
"YDR389W",2,2,2
"YIL131C",5,4,4
"YMR215W",1,1,1
"YIL158W",1,3,3
"YGL101W",1,1,1
"YJR110W",5,5,4
"YOL012C",5,4,4
"YBL032W",5,4,4
"YBR043C",1,1,1
"YCL012W",3,5,3
"YCL013W",1,1,1
"YCL062W",1,1,1
"YCL063W",5,4,4
"YDR324C",5,4,4
"YDR325W",5,4,4
"YGR108W",2,5,2
"YPR119W",2,5,2
"YOL069W",1,3,3
"YHR023W",3,3,3
"YPL242C",1,3,3
"YJR092W",1,3,3
"YLR353W",1,3,3
"YCL037C",5,4,4
"YMR001C",1,5,4
"YGL021W",2,5,4
"YOR025W",5,5,4
"YDR146C",5,4,4
"YLR131C",5,5,4
"YNL053W",2,2,2
"YPR167C",2,4,4
"YML033W",1,3,3
"YML034W",5,4,4
"YOR315W",1,3,3
"YHL028W",1,3,3
"YPL127C",5,4,4
"YLL021W",4,1,1
"YDR297W",5,4,4
"YJR043C",5,4,4
"YDR113C",4,4,4
"YNL126W",5,4,4
"YEL061C",5,4,4
"YHR172W",5,4,4
"YPR141C",2,4,4
"YLR045C",5,4,4
"YGR140W",4,1,1
"YBL063W",4,4,4
"YDR356W",2,4,4
"YJR006W",5,4,4
"YBL003C",5,4,4
"YBL002W",5,4,4
"YMR190C",5,4,4
"YPL016W",5,4,4
"YFR037C",5,4,4
"YER001W",2,5,2
"YER003C",2,5,4
"YDL093W",2,5,4
"YIR017C",5,4,4
"YKR001C",1,4,4
"YER118C",2,2,2
"YER016W",5,4,4
"YKR010C",5,4,4
"YHR061C",4,5,4
"YEL017W",4,1,1
"YLL062C",5,4,4
"YJL118W",4,1,1
"YDR179C",2,2,2
"YER018C",4,1,1
"YBR156C",2,5,2
"YBR184W",4,1,1
"YLR228C",5,4,4
"YDR252W",1,5,4
"YBR007C",4,1,1
"YEL018W",5,4,4
"YER019W",4,1,1
"YFR038W",5,4,4
"YLL061W",5,1,1
"YKL049C",4,4,4
"YOR188W",4,4,4
"YJR076C",2,2,2
"YJL092W",5,4,4
"YCR084C",5,4,4
"YJR112W",1,4,4
"YLL046C",4,1,1
"YDR464W",5,4,4
"YKL068W",5,4,4
"YDR451C",5,4,4
"YCR085W",5,4,4
"YMR003W",1,1,1
"YNR009W",5,4,4
"YOR073W",1,4,4
"YLL047W",5,4,4
"YDR366C",1,1,1
"YCR086W",5,4,4
"YIL169C",1,1,1
"YKL052C",2,4,4
"YKL053W",4,4,4
"YKL069W",5,4,4
"YPL116W",5,4,4
"YPL264C",1,1,1
"YBR200W",2,2,2
"YBR202W",5,4,4
"YPR019W",5,4,4
"YBL023C",5,4,4
"YEL032W",5,4,4
"YPL058C",3,3,3
"YGR035C",3,3,3
"YHL026C",3,3,3
"YMR254C",3,3,3
"YMR031C",5,4,4
"YLR254C",3,4,4
"YOR273C",3,3,3
"YLR015W",5,4,4
"YBR038W",3,3,3
"YLR014C",5,2,2
"YOR274W",5,4,4
"YGL116W",2,5,2
"YGR092W",3,5,4
"YBR138C",3,3,3
"YOR058C",3,3,3
"YCR042C",5,4,4
"YOR229W",5,4,4
"YKL130C",3,3,3
