"1" "2" "3" "4" "5" "6"
"YMR198W" 3 4 2 2 4 4
"YBL052C" 3 5 5 4 1 2
"YIL126W" 3 5 5 2 4 2
"YJR137C" 4 1 1 4 3 1
"YCR035C" 4 3 3 4 3 1
"YDR219C" 3 4 1 2 2 1
"YNL176C" 2 1 1 1 3 4
"YLR455W" 3 3 3 3 3 2
"YCRX04W" 1 1 1 1 1 1
"YIL050W" 2 2 1 1 3 2
"YIL106W" 3 2 5 4 3 1
"YBL097W" 3 4 3 2 4 4
"YCL014W" 2 2 2 2 5 4
"YJL099W" 5 3 5 3 3 1
"YKL048C" 2 1 1 2 3 4
"YGL255W" 5 4 2 5 2 4
"YJL137C" 1 3 5 3 3 1
"YBR104W" 5 4 2 2 2 5
"YCR073C" 3 2 5 4 3 5
"YDL198C" 5 1 2 2 2 5
"YDR389W" 3 2 2 2 5 3
"YIL131C" 3 5 3 4 4 2
"YMR215W" 2 1 1 1 3 4
"YIL158W" 2 1 1 1 3 4
"YGL101W" 2 1 1 1 3 4
"YJR110W" 1 3 5 4 3 1
"YOL012C" 3 5 3 4 3 2
"YBL032W" 3 3 5 4 3 1
"YBR043C" 5 1 1 2 2 5
"YCL012W" 1 1 1 1 1 1
"YCL013W" 1 1 1 1 1 1
"YCL062W" 1 1 1 1 1 1
"YCL063W" 3 4 2 3 4 4
"YDR324C" 3 5 3 4 3 2
"YDR325W" 3 4 2 2 4 4
"YGR108W" 3 4 2 2 4 4
"YPR119W" 3 2 5 2 4 2
"YOL069W" 1 4 1 2 2 5
"YHR023W" 2 4 1 2 2 4
"YPL242C" 2 4 1 2 2 4
"YJR092W" 2 4 1 2 3 4
"YLR353W" 1 4 1 2 2 4
"YCL037C" 4 3 3 3 3 1
"YMR001C" 2 4 1 4 3 5
"YGL021W" 3 4 5 2 4 4
"YOR025W" 3 5 5 4 1 2
"YDR146C" 3 5 3 4 1 2
"YLR131C" 3 5 2 2 3 2
"YNL053W" 3 2 2 4 5 5
"YPR167C" 4 3 5 4 3 1
"YML033W" 1 1 1 1 1 1
"YML034W" 3 4 5 4 1 1
"YOR315W" 2 4 1 2 2 4
"YHL028W" 2 1 1 5 2 5
"YPL127C" 3 5 3 2 1 2
"YLL021W" 2 1 2 2 5 5
"YDR297W" 4 3 5 4 3 1
"YJR043C" 3 3 3 4 3 1
"YDR113C" 2 4 1 4 3 1
"YNL126W" 1 4 2 2 4 4
"YEL061C" 3 4 2 2 4 4
"YHR172W" 1 4 2 2 4 4
"YPR141C" 3 4 2 2 4 4
"YLR045C" 1 4 2 2 4 4
"YGR140W" 1 4 1 2 2 4
"YBL063W" 1 4 1 2 4 4
"YDR356W" 1 4 2 2 5 4
"YJR006W" 3 3 3 4 3 1
"YBL003C" 3 3 5 4 1 1
"YBL002W" 3 5 2 3 4 4
"YMR190C" 3 3 5 2 4 2
"YPL016W" 3 5 3 4 3 2
"YFR037C" 3 3 5 4 3 2
"YER001W" 3 3 5 3 3 1
"YER003C" 3 3 5 3 3 1
"YDL093W" 3 3 5 3 3 1
"YIR017C" 3 5 5 4 3 2
"YKR001C" 5 4 2 5 2 5
"YER118C" 2 3 2 2 5 5
"YER016W" 1 4 2 2 4 2
"YKR010C" 3 5 1 2 4 2
"YHR061C" 2 4 1 2 2 4
"YEL017W" 2 1 1 1 3 4
"YLL062C" 4 3 5 4 3 1
"YJL118W" 2 1 1 1 3 4
"YDR179C" 3 2 2 4 5 5
"YER018C" 1 4 1 2 2 5
"YBR156C" 2 2 1 2 4 5
"YBR184W" 2 1 1 1 3 4
"YLR228C" 3 5 3 5 3 2
"YDR252W" 3 3 3 4 3 1
"YBR007C" 2 1 1 1 3 4
"YEL018W" 1 3 3 4 3 1
"YER019W" 4 3 5 4 1 1
"YFR038W" 1 3 3 4 3 1
"YLL061W" 5 5 2 5 2 4
"YKL049C" 2 4 1 2 4 4
"YOR188W" 1 4 2 2 4 4
"YJR076C" 2 2 1 2 4 4
"YJL092W" 3 3 5 4 1 2
"YCR084C" 3 5 2 4 4 2
"YJR112W" 1 4 2 2 4 4
"YLL046C" 2 1 1 3 4 4
"YDR464W" 3 5 3 3 1 2
"YKL068W" 3 5 2 5 2 2
"YDR451C" 3 5 3 4 1 2
"YCR085W" 1 1 1 1 1 1
"YMR003W" 2 1 1 1 3 4
"YNR009W" 3 5 3 3 1 2
"YOR073W" 2 4 1 1 4 4
"YLL047W" 1 1 1 1 1 1
"YDR366C" 2 1 1 1 3 4
"YCR086W" 3 4 2 2 4 4
"YIL169C" 2 1 1 1 3 4
"YKL052C" 1 4 2 2 4 4
"YKL053W" 1 1 1 1 1 1
"YKL069W" 2 3 4 2 4 5
"YPL116W" 3 3 5 4 1 2
"YPL264C" 2 1 1 1 3 4
"YBR200W" 3 2 2 2 5 5
"YBR202W" 3 3 3 4 3 2
"YPR019W" 3 3 3 4 3 1
"YBL023C" 3 3 3 4 3 3
"YEL032W" 3 3 3 4 3 2
"YPL058C" 5 1 2 5 2 4
"YGR035C" 2 1 1 1 3 4
"YHL026C" 2 1 1 1 3 4
"YMR254C" 1 1 1 1 1 1
"YMR031C" 3 5 2 3 4 4
"YLR254C" 5 4 2 5 2 4
"YOR273C" 5 1 1 5 2 4
"YLR015W" 3 3 5 4 3 2
"YBR038W" 4 4 5 2 3 1
"YLR014C" 3 5 5 4 3 2
"YOR274W" 3 5 3 4 3 2
"YGL116W" 3 2 2 2 4 2
"YGR092W" 3 2 5 2 3 5
"YBR138C" 2 1 1 1 3 4
"YOR058C" 2 4 1 2 4 4
"YCR042C" 3 5 3 3 3 2
"YOR229W" 3 5 1 2 1 2
"YKL130C" 2 1 1 4 4 4
"YIL162W" 4 3 4 4 3 1
"YDL138W" 5 2 2 5 5 5
"YDL048C" 2 1 1 1 3 4
"YGR143W" 4 3 5 3 3 1
"YKL129C" 2 1 1 5 2 4
"YIL167W" 4 3 5 4 3 1
"YHR152W" 2 4 1 2 4 4
"YJL079C" 5 1 2 5 2 4
"YAR018C" 2 2 1 2 3 1
"YAL022C" 5 4 2 2 2 5
"YGR279C" 2 2 2 2 5 4
"YGL201C" 4 3 3 4 3 1
"YNL057W" 1 1 1 1 1 1
"YML119W" 2 1 1 1 3 4
"YOL137W" 2 1 1 1 3 4
"YPL186C" 2 1 1 1 3 4
"YCL038C" 5 4 2 5 2 4
"YKR021W" 5 1 2 5 2 5
"YPR157W" 2 1 1 1 3 4
"YJL051W" 1 3 3 4 3 1
"YOL014W" 2 1 1 1 3 4
"YGR230W" 3 4 2 2 4 4
"YLR190W" 3 4 2 2 2 4
"YMR032W" 2 3 1 2 4 4
"YOL070C" 2 1 1 1 3 4
"YLR297W" 2 1 1 1 3 4
"YHR151C" 2 1 1 1 3 4
"YNL058C" 2 1 1 1 3 4
"YER111C" 3 3 3 4 1 2
"YML109W" 3 5 1 2 4 2
"YNR016C" 4 4 2 4 2 1
"YBR067C" 3 4 2 3 4 4
"YGL055W" 4 4 5 4 2 1
"YLR050C" 2 1 1 1 3 4
"YGR109C" 3 2 5 4 3 2
"YPR120C" 3 4 5 4 3 2
"YDL127W" 3 2 2 2 5 5
"YNL289W" 3 2 2 2 5 5
"YPL256C" 3 2 2 4 5 5
"YMR199W" 3 2 2 3 4 1
"YJL187C" 2 2 5 2 4 4
"YDL003W" 3 3 5 4 4 1
"YMR076C" 3 4 5 4 4 4
"YKL042W" 1 4 2 2 4 4
"YFL008W" 3 4 5 4 4 1
"YPL241C" 1 3 3 4 3 1
"YMR078C" 3 3 3 4 3 1
"YLR212C" 1 4 2 2 4 4
"YNL225C" 1 4 2 2 4 4
"YPL209C" 2 4 1 2 4 5
"YJL074C" 3 4 5 4 4 4
"YNL233W" 2 1 1 1 3 1
"YLR313C" 2 1 2 2 5 4
"YGR041W" 1 4 2 2 4 4
"YGR152C" 2 2 2 2 5 4
"YDR507C" 1 2 5 2 3 4
"YIL159W" 1 4 2 2 4 5
"YGL027C" 3 3 5 3 3 1
"YML102W" 1 5 2 3 4 4
"YPR018W" 1 5 2 3 4 4
"YBL035C" 3 3 3 4 3 1
"YNL102W" 3 3 3 4 3 1
"YBR278W" 3 3 3 2 3 2
"YPR175W" 3 3 3 4 3 2
"YNL262W" 3 3 3 4 3 2
