"1" "2" "3" "4" "5" "6"
"YMR198W" 3 6 5 6 5 3
"YBL052C" 3 4 1 6 3 1
"YIL126W" 3 4 5 6 3 5
"YJR137C" 4 5 4 1 2 6
"YCR035C" 3 4 1 5 2 1
"YDR219C" 3 5 4 6 5 3
"YNL176C" 6 5 4 2 5 6
"YLR455W" 3 4 1 5 3 1
"YCRX04W" 5 4 4 6 5 4
"YIL050W" 6 5 4 2 3 6
"YIL106W" 3 1 3 6 5 3
"YBL097W" 3 4 5 6 5 1
"YCL014W" 6 5 5 6 5 2
"YJL099W" 5 5 6 6 2 2
"YKL048C" 6 5 5 6 5 5
"YGL255W" 5 2 5 6 5 3
"YJL137C" 1 4 6 6 2 1
"YBR104W" 5 6 5 1 6 3
"YCR073C" 3 1 6 5 1 1
"YDL198C" 5 2 5 1 1 3
"YDR389W" 3 6 5 6 4 3
"YIL131C" 3 4 1 6 3 1
"YMR215W" 6 5 4 2 5 6
"YIL158W" 2 2 4 4 5 6
"YGL101W" 6 5 4 2 5 6
"YJR110W" 3 4 3 1 2 3
"YOL012C" 3 4 1 6 3 1
"YBL032W" 3 5 1 5 2 2
"YBR043C" 5 5 4 1 5 6
"YCL012W" 2 2 4 6 5 2
"YCL013W" 6 5 1 6 5 4
"YCL062W" 3 5 4 6 5 4
"YCL063W" 3 4 4 6 5 1
"YDR324C" 3 4 1 5 3 1
"YDR325W" 3 4 5 6 5 1
"YGR108W" 3 1 5 6 5 3
"YPR119W" 3 1 5 6 5 3
"YOL069W" 1 2 5 1 5 3
"YHR023W" 2 2 5 1 5 3
"YPL242C" 2 2 5 1 5 3
"YJR092W" 2 2 5 4 5 2
"YLR353W" 2 2 5 1 5 3
"YCL037C" 3 4 6 5 2 1
"YMR001C" 2 2 4 6 5 6
"YGL021W" 3 1 5 6 5 3
"YOR025W" 3 4 3 1 3 1
"YDR146C" 3 4 1 6 3 1
"YLR131C" 3 4 5 6 3 1
"YNL053W" 3 6 1 6 1 2
"YPR167C" 4 5 3 1 2 3
"YML033W" 2 2 4 6 5 2
"YML034W" 3 4 1 6 5 3
"YOR315W" 2 2 5 1 5 3
"YHL028W" 2 2 4 2 5 6
"YPL127C" 3 4 5 3 3 1
"YLL021W" 6 3 5 1 6 3
"YDR297W" 4 4 6 1 2 3
"YJR043C" 3 4 1 5 2 1
"YDR113C" 6 3 4 5 2 1
