"1","2","3","4"
"YMR198W",6,6,6,6
"YBL052C",3,3,3,3
"YIL126W",6,5,5,6
"YJR137C",1,2,2,2
"YCR035C",5,5,5,5
"YDR219C",6,2,2,6
"YNL176C",2,2,2,2
"YLR455W",4,4,4,4
"YCRX04W",1,1,1,1
"YIL050W",2,1,1,1
"YIL106W",1,1,1,1
"YBL097W",6,5,5,6
"YCL014W",1,6,6,1
"YJL099W",1,5,5,5
"YKL048C",1,2,2,2
"YGL255W",1,4,4,4
"YJL137C",5,5,5,5
"YBR104W",1,6,6,4
"YCR073C",1,1,1,1
"YDL198C",1,6,6,6
"YDR389W",1,6,6,1
"YIL131C",4,4,4,4
"YMR215W",2,2,2,2
"YIL158W",2,2,2,2
"YGL101W",2,2,2,2
"YJR110W",1,5,5,5
"YOL012C",5,5,5,5
"YBL032W",5,5,5,5
"YBR043C",1,2,2,2
"YCL012W",1,1,1,1
"YCL013W",1,1,1,1
"YCL062W",1,1,1,1
"YCL063W",6,6,6,6
"YDR324C",5,5,5,5
"YDR325W",6,3,3,6
"YGR108W",6,1,1,1
"YPR119W",1,1,1,1
"YOL069W",1,2,2,2
"YHR023W",1,2,2,2
"YPL242C",1,2,2,2
"YJR092W",2,2,2,2
"YLR353W",4,4,4,4
"YCL037C",5,5,5,5
"YMR001C",5,5,5,5
"YGL021W",6,1,1,1
"YOR025W",1,3,3,3
"YDR146C",3,3,3,3
"YLR131C",4,4,4,4
"YNL053W",1,6,6,1
"YPR167C",1,5,5,5
"YML033W",1,1,1,1
"YML034W",3,3,3,3
"YOR315W",4,4,4,4
"YHL028W",2,2,2,2
"YPL127C",3,3,3,3
"YLL021W",4,4,4,4
"YDR297W",1,5,5,5
"YJR043C",5,5,5,5
"YDR113C",5,5,5,5
"YNL126W",6,3,3,6
"YEL061C",6,3,3,6
"YHR172W",6,3,3,6
"YPR141C",6,6,6,6
"YLR045C",6,3,3,6
"YGR140W",1,2,2,2
"YBL063W",1,2,2,6
"YDR356W",1,6,6,6
"YJR006W",5,5,5,5
"YBL003C",3,3,3,3
"YBL002W",6,5,5,6
"YMR190C",6,5,5,6
"YPL016W",1,5,5,5
"YFR037C",5,5,5,5
"YER001W",1,5,5,5
"YER003C",1,5,5,5
"YDL093W",5,5,5,5
"YIR017C",1,5,5,5
"YKR001C",1,6,6,6
"YER118C",1,6,6,4
"YER016W",6,6,6,6
"YKR010C",6,3,3,6
"YHR061C",1,2,2,6
"YEL017W",2,2,2,2
"YLL062C",1,5,5,5
"YJL118W",2,2,2,2
"YDR179C",1,1,1,1
"YER018C",1,2,2,2
"YBR156C",1,1,1,1
"YBR184W",2,2,2,2
"YLR228C",4,4,4,4
"YDR252W",1,5,5,5
"YBR007C",2,2,2,2
"YEL018W",5,5,5,5
"YER019W",1,3,3,3
"YFR038W",5,5,5,5
"YLL061W",5,5,5,5
"YKL049C",1,3,3,6
"YOR188W",4,4,4,4
"YJR076C",1,1,1,1
"YJL092W",3,3,3,3
"YCR084C",4,4,4,4
"YJR112W",4,4,4,4
"YLL046C",2,2,2,2
"YDR464W",4,4,4,4
"YKL068W",5,6,6,5
"YDR451C",3,3,3,3
"YCR085W",1,1,1,1
"YMR003W",2,2,2,2
"YNR009W",4,4,4,4
"YOR073W",6,5,5,6
"YLL047W",1,1,1,1
"YDR366C",2,2,2,2
"YCR086W",6,3,3,6
"YIL169C",2,2,2,2
"YKL052C",6,3,3,6
"YKL053W",1,1,1,1
"YKL069W",6,5,5,6
"YPL116W",1,4,4,4
"YPL264C",2,2,2,2
"YBR200W",6,6,6,1
"YBR202W",5,5,5,5
"YPR019W",5,5,5,5
"YBL023C",5,5,5,5
"YEL032W",5,5,5,5
"YPL058C",5,5,5,5
"YGR035C",2,2,2,2
"YHL026C",2,2,2,2
"YMR254C",1,1,1,1
"YMR031C",6,6,6,6
"YLR254C",1,6,6,4
"YOR273C",2,2,2,2
"YLR015W",5,5,5,5
"YBR038W",1,5,5,5
"YLR014C",4,4,4,4
"YOR274W",5,5,5,5
"YGL116W",6,1,1,1
"YGR092W",5,5,5,5
"YBR138C",2,2,2,2
"YOR058C",1,2,2,6
"YCR042C",5,5,5,5
"YOR229W",4,4,4,4
"YKL130C",1,2,2,2
"YIL162W",1,5,5,5
"YDL138W",2,6,6,1
"YDL048C",2,2,2,2
"YGR143W",1,5,5,5
"YKL129C",2,2,2,2
"YIL167W",1,5,5,5
"YHR152W",1,3,3,6
