"1" "2" "3" "4" "5" "6"
"MTERF2" 1 2 1 3 5 3
"SEPP1" 4 5 2 5 1 3
"PIN1" 4 5 2 4 2 3
"EPB41L2" 2 2 5 3 1 4
"LUC7L3" 1 2 5 3 1 3
"AA059077" 2 2 5 3 2 4
"LUM" 3 2 5 5 1 4
"OPN3" 4 1 2 4 5 4
"CPT1B" 3 2 1 5 1 4
"PLPPR4" 2 2 1 3 1 4
"CLDN11" 4 2 5 3 1 4
"FAM69A" 2 2 5 3 1 4
"SASH1" 5 3 4 4 2 4
"PLXNC1" 4 2 5 5 1 4
"ROR1" 2 5 4 1 2 4
"ARHGAP20" 2 1 2 4 5 5
"H16592" 2 1 1 3 1 4
"SESN3" 2 1 1 3 1 4
"CCNG1" 5 5 4 4 2 3
"H14499" 2 1 1 3 1 4
"CDKN1C" 5 5 2 4 5 3
"GRIA1" 2 1 2 4 5 5
"VAMP4" 2 2 4 3 1 5
"DTX3L" 2 2 1 5 1 3
"ABCA5" 2 5 2 5 1 4
"H61273" 2 1 1 3 1 4
"N63445" 2 1 1 3 1 4
"W69445" 2 1 1 3 1 4
"R60336" 2 1 1 3 1 4
"IGDCC4" 2 1 1 3 1 4
"H15535" 2 1 2 3 3 3
"FAXC" 2 1 2 3 1 3
"FMOD" 3 2 5 5 1 4
"PIH1D1" 5 1 2 3 5 5
"WDFY3" 2 1 1 5 1 4
"R34653" 2 2 1 3 1 4
"CAT" 4 2 5 5 4 4
"THBS2" 5 3 2 4 5 3
"IFT20" 2 2 5 3 1 4
"FLJ10849" 2 2 5 3 1 4
"CDC42BPA" 2 2 4 1 1 3
"H05133" 2 1 1 3 2 4
"DOCK8" 4 5 5 5 1 2
"AA057433" 2 1 1 3 1 4
"N52170" 2 1 1 3 1 4
"R71462" 2 1 1 3 1 4
"R60996" 2 1 1 3 1 4
"ULK2" 4 2 4 1 1 4
"T85754" 2 1 1 3 2 4
"R59736" 2 1 1 3 1 4
"N50955" 2 1 1 3 2 4
"MME" 1 2 5 1 2 4
"ADGRD1" 2 1 2 4 5 4
"DPP4" 4 3 2 4 5 4
"H00856" 2 2 1 3 2 4
"N74313" 2 2 1 3 1 4
"TMEM106B" 4 2 5 3 1 2
"FBN2" 5 2 5 4 5 4
"LAMA2" 5 2 5 5 5 2
"ANXA3" 5 3 2 5 5 3
"AVPI1" 2 1 1 3 2 4
"CRABP2" 5 1 2 4 5 4
