"1","2","3"
"MTERF2",5,1,5
"SEPP1",1,1,1
"PIN1",2,2,2
"EPB41L2",1,1,1
"LUC7L3",1,1,1
"AA059077",2,5,1
"LUM",1,5,1
"OPN3",5,5,5
"CPT1B",1,5,1
"PLPPR4",1,1,1
"CLDN11",1,5,1
"FAM69A",1,5,1
"SASH1",2,1,1
"PLXNC1",1,5,1
"ROR1",1,1,1
"ARHGAP20",5,2,2
"H16592",1,1,1
"SESN3",1,1,1
"CCNG1",2,1,1
"H14499",1,1,1
"CDKN1C",5,2,5
"GRIA1",5,2,5
"VAMP4",1,5,1
"DTX3L",1,1,1
"ABCA5",1,5,1
"H61273",1,1,1
"N63445",1,1,1
"W69445",1,1,1
"R60336",1,1,1
"IGDCC4",1,1,1
"H15535",3,3,3
"FAXC",1,1,1
"FMOD",1,5,1
"PIH1D1",2,2,2
"WDFY3",1,1,1
"R34653",1,5,1
"CAT",4,5,4
"THBS2",5,4,5
"IFT20",1,5,1
"FLJ10849",1,5,1
"CDC42BPA",1,1,1
"H05133",2,1,1
"DOCK8",1,1,1
"AA057433",1,1,1
"N52170",1,1,1
"R71462",1,1,1
"R60996",1,1,1
"ULK2",1,1,1
"T85754",2,1,1
"R59736",1,1,1
"N50955",2,5,1
"MME",2,5,1
"ADGRD1",5,2,5
"DPP4",1,5,2
"H00856",2,5,1
"N74313",1,1,1
"TMEM106B",1,5,1
"FBN2",2,5,5
"LAMA2",5,5,5
"ANXA3",5,1,5
"AVPI1",2,5,1
"CRABP2",5,2,5
"HFL1",2,5,1
"W78854",2,1,1
"SQLE",1,5,1
"FAM198B",1,5,1
"AD036",1,5,1
"OSBPL1A",1,5,1
"WNT2",5,2,5
"H66594",1,5,1
"ASNS",2,5,1
"MEST",2,2,2
"DHCR24",2,5,2
"W79348",2,5,1
"PIM1",2,5,5
"RHOBTB3",1,5,1
"AA012995",1,1,1
"TMEM97",1,5,1
"SC5D",1,5,1
"SLC2A12",1,5,1
"SPTBN1",2,2,2
"IPO8",5,2,5
"SLC22A17",1,5,1
"HMGCR",1,5,1
"CYP1B1",2,5,1
"RDH10",1,5,1
"SYNPO2",2,1,1
"MID1",2,2,5
"AA040147",1,5,1
"PQLC3",2,5,1
"ELF2",5,1,5
"HBP1",4,2,2
"W67250",1,5,1
