"1","2","3","4"
"MTERF2",1,3,1,5
"SEPP1",4,1,1,1
"PIN1",6,6,6,6
"EPB41L2",6,6,6,6
"LUC7L3",1,2,1,2
"AA059077",5,6,5,5
"LUM",2,2,2,2
"OPN3",6,6,6,6
"CPT1B",5,2,5,5
"PLPPR4",6,6,6,6
"CLDN11",5,2,5,5
"FAM69A",6,6,6,6
"SASH1",6,6,6,6
"PLXNC1",5,2,5,5
"ROR1",6,6,6,6
"ARHGAP20",6,6,6,6
"H16592",6,6,6,6
"SESN3",5,6,5,5
"CCNG1",4,6,6,6
"H14499",5,6,5,5
"CDKN1C",4,6,6,6
"GRIA1",6,6,6,6
"VAMP4",4,2,2,2
"DTX3L",4,2,1,2
"ABCA5",4,1,5,5
"H61273",5,6,5,5
"N63445",5,6,5,5
"W69445",5,6,5,5
"R60336",6,6,6,6
"IGDCC4",6,6,6,6
"H15535",4,6,6,6
"FAXC",2,2,2,2
"FMOD",3,3,2,3
"PIH1D1",6,6,6,6
"WDFY3",4,6,6,6
"R34653",6,6,6,6
"CAT",1,2,1,2
"THBS2",6,6,6,6
"IFT20",4,6,6,6
"FLJ10849",5,6,5,5
"CDC42BPA",6,6,6,6
"H05133",2,2,2,2
"DOCK8",5,1,5,1
"AA057433",6,6,6,6
"N52170",6,6,6,6
"R71462",6,6,6,6
"R60996",6,6,6,6
"ULK2",4,6,6,6
"T85754",6,6,6,6
"R59736",5,6,5,5
"N50955",6,6,6,6
"MME",2,2,2,2
"ADGRD1",6,6,6,6
"DPP4",6,6,6,6
"H00856",6,6,6,6
"N74313",5,6,5,5
"TMEM106B",5,2,5,5
"FBN2",6,6,6,6
"LAMA2",5,2,5,5
"ANXA3",6,6,6,6
"AVPI1",5,6,5,5
"CRABP2",6,6,6,6
"HFL1",6,6,6,6
"W78854",5,6,5,5
"SQLE",5,2,5,5
"FAM198B",5,6,5,5
"AD036",5,6,5,5
"OSBPL1A",5,2,5,5
"WNT2",6,6,6,6
"H66594",5,6,5,5
"ASNS",2,2,2,2
"MEST",6,6,6,6
"DHCR24",5,2,5,5
"W79348",5,6,5,5
"PIM1",6,6,6,6
"RHOBTB3",5,2,5,5
"AA012995",6,6,6,6
"TMEM97",6,6,6,6
"SC5D",5,2,5,5
"SLC2A12",5,2,5,5
"SPTBN1",6,6,6,6
"IPO8",6,6,6,6
"SLC22A17",2,2,2,2
"HMGCR",5,2,5,5
"CYP1B1",6,6,6,6
"RDH10",5,2,5,5
"SYNPO2",6,6,6,6
"MID1",6,6,6,6
"AA040147",6,6,6,6
"PQLC3",5,2,5,5
"ELF2",1,2,1,2
"HBP1",4,6,1,6
"W67250",6,6,6,6
"COL3A1",6,6,6,6
"PDE8A",4,2,1,2
"C1orf198",5,6,5,5
"SUSD4",6,6,6,6
"SSPN",5,2,5,5
"PGRMC2",6,6,6,6
"VEZF1",1,2,1,2
"TXNIP",4,3,1,3
"HMGN3",3,3,2,3
"BM-002",4,5,3,3
"FAM111A",1,3,1,3
"FPGT",3,3,2,3
"KIAA1376",4,2,2,2
"WEE1",1,1,1,1
"HLTF",1,6,1,6
"HOXA11",6,6,6,6
"USP49",1,6,1,6
"RAP140",4,2,3,2
"FLJ10971",4,6,6,6
"KBTBD6",3,3,2,3
"ZNF302",4,6,1,6
"DHX57",4,3,1,3
"SUPT20H",4,3,1,3
"FLJ20008",4,5,1,3
"MSL1",1,3,1,3
"CACNA1E",3,3,2,3
"CREBZF",1,3,1,3
"STX7",4,3,1,3
"ALDH3A2",5,3,5,5
"MEIS1",6,6,6,6
"NEDD4L",1,6,1,6
