"1","2","3","4","5"
"MTERF2",2,2,5,2,1
"SEPP1",4,6,6,6,4
"PIN1",4,6,6,6,6
"EPB41L2",1,2,5,1,6
"LUC7L3",2,2,5,2,1
"AA059077",1,2,5,1,1
"LUM",1,2,5,1,1
"OPN3",5,6,6,5,6
"CPT1B",2,2,5,2,1
"PLPPR4",1,2,5,1,6
"CLDN11",5,2,5,5,5
"FAM69A",1,2,5,1,1
"SASH1",4,2,2,1,6
"PLXNC1",5,2,5,5,5
"ROR1",4,2,5,2,4
"ARHGAP20",6,6,6,6,6
"H16592",2,2,5,2,6
"SESN3",2,2,5,2,6
"CCNG1",4,6,5,1,4
"H14499",1,2,5,1,6
"CDKN1C",4,6,2,6,4
"GRIA1",6,6,6,6,6
"VAMP4",1,2,5,1,1
"DTX3L",2,2,5,2,6
"ABCA5",4,6,6,1,4
"H61273",1,2,5,1,6
"N63445",1,2,5,1,6
"W69445",5,2,5,5,6
"R60336",2,2,3,2,6
"IGDCC4",2,2,5,2,6
"H15535",5,2,3,5,6
"FAXC",2,2,3,2,5
"FMOD",1,2,5,1,1
"PIH1D1",6,6,6,6,6
"WDFY3",2,2,5,2,6
"R34653",1,2,5,1,6
"CAT",1,2,5,1,1
"THBS2",4,6,2,6,6
"IFT20",5,6,6,5,5
"FLJ10849",1,2,5,1,1
"CDC42BPA",1,2,5,1,6
"H05133",2,2,5,2,6
"DOCK8",4,1,1,1,4
"AA057433",2,2,5,2,6
"N52170",2,2,5,2,6
"R71462",2,2,5,2,6
"R60996",2,2,5,2,6
"ULK2",2,2,6,2,6
"T85754",2,2,5,2,6
"R59736",1,2,5,1,6
"N50955",1,2,5,1,6
"MME",1,2,5,1,1
"ADGRD1",6,6,6,6,6
"DPP4",4,6,6,1,4
"H00856",1,2,5,1,6
"N74313",1,2,5,1,6
"TMEM106B",5,6,6,5,5
"FBN2",1,6,2,1,1
"LAMA2",1,6,5,1,1
"ANXA3",4,6,2,1,6
"AVPI1",1,2,5,1,6
"CRABP2",6,6,6,6,6
"HFL1",1,2,5,1,6
"W78854",1,2,5,1,6
"SQLE",2,2,5,2,1
"FAM198B",1,2,5,1,1
"AD036",1,2,5,1,1
"OSBPL1A",5,2,5,5,5
"WNT2",6,6,2,6,2
"H66594",1,2,5,1,6
"ASNS",2,2,5,2,1
"MEST",5,6,5,5,5
"DHCR24",1,2,5,1,1
"W79348",1,2,5,1,6
"PIM1",5,2,5,5,5
"RHOBTB3",4,2,5,1,4
