"1" "2" "3" "4" "5" "6"
"MTERF2" 1 5 6 2 1 5
"SEPP1" 4 4 3 3 4 3
"PIN1" 4 3 5 1 4 6
"EPB41L2" 1 1 1 1 1 1
"LUC7L3" 1 1 6 2 4 5
"AA059077" 1 1 1 1 1 1
"LUM" 3 1 3 5 5 2
"OPN3" 6 6 5 1 1 6
"CPT1B" 3 5 3 5 5 2
"PLPPR4" 1 1 1 1 1 1
"CLDN11" 4 4 3 2 3 4
"FAM69A" 1 1 1 1 1 1
"SASH1" 5 2 5 4 2 6
"PLXNC1" 4 6 3 2 1 3
"ROR1" 2 4 2 4 2 4
"ARHGAP20" 6 6 2 1 6 6
"H16592" 1 1 1 1 1 1
"SESN3" 1 1 1 1 1 1
"CCNG1" 5 3 5 4 4 6
"H14499" 1 1 1 1 1 1
"CDKN1C" 5 2 5 1 1 5
"GRIA1" 6 6 2 1 1 6
"VAMP4" 2 1 2 5 6 4
"DTX3L" 2 6 6 3 4 5
"ABCA5" 5 6 2 5 6 3
"H61273" 1 1 1 1 1 1
"N63445" 1 1 1 1 1 1
"W69445" 1 1 1 1 1 1
"R60336" 1 1 1 1 1 1
"IGDCC4" 1 1 1 1 1 1
"H15535" 1 1 1 1 1 1
"FAXC" 1 1 1 1 1 1
"FMOD" 3 1 3 5 5 2
"PIH1D1" 5 3 6 1 6 3
"WDFY3" 2 2 3 5 5 6
"R34653" 1 1 1 1 1 1
"CAT" 4 1 3 2 5 4
"THBS2" 5 2 2 4 1 6
"IFT20" 2 2 2 3 4 4
"FLJ10849" 1 1 1 1 1 1
"CDC42BPA" 2 3 2 3 2 4
"H05133" 1 1 1 1 1 1
"DOCK8" 4 4 3 3 1 1
"AA057433" 1 1 1 1 1 1
"N52170" 1 1 1 1 1 1
"R71462" 1 1 1 1 1 1
"R60996" 1 1 1 1 1 1
"ULK2" 4 3 5 3 5 4
"T85754" 1 1 1 1 1 1
"R59736" 1 1 1 1 1 1
"N50955" 1 1 1 1 1 1
"MME" 3 1 4 4 5 4
"ADGRD1" 6 6 5 1 1 6
