"1","2","3","4"
"MTERF2",1,1,1,1
"SEPP1",4,3,4,4
"PIN1",6,4,4,4
"EPB41L2",1,1,1,1
"LUC7L3",1,4,4,1
"AA059077",1,1,1,1
"LUM",5,5,5,5
"OPN3",6,1,1,1
"CPT1B",5,5,5,5
"PLPPR4",1,1,1,1
"CLDN11",4,5,3,4
"FAM69A",1,1,1,1
"SASH1",2,2,2,2
"PLXNC1",6,1,1,1
"ROR1",4,2,2,4
"ARHGAP20",1,1,6,1
"H16592",1,1,1,1
"SESN3",1,1,1,1
"CCNG1",4,4,4,4
"H14499",1,1,1,1
"CDKN1C",1,1,1,1
"GRIA1",1,1,1,1
"VAMP4",6,3,6,4
"DTX3L",2,3,4,6
"ABCA5",6,1,6,4
"H61273",1,1,1,1
"N63445",1,1,1,1
"W69445",1,1,1,1
"R60336",1,1,1,1
"IGDCC4",1,1,1,1
"H15535",1,1,1,1
"FAXC",1,1,1,1
"FMOD",5,5,5,5
"PIH1D1",6,1,6,1
"WDFY3",2,3,2,2
"R34653",1,1,1,1
"CAT",3,6,3,6
"THBS2",1,1,1,1
"IFT20",6,4,4,6
"FLJ10849",1,1,1,1
"CDC42BPA",2,3,2,2
"H05133",1,1,1,1
"DOCK8",4,1,1,4
"AA057433",1,1,1,1
"N52170",1,1,1,1
"R71462",1,1,1,1
"R60996",1,1,1,1
"ULK2",2,2,2,2
"T85754",1,1,1,1
"R59736",1,1,1,1
"N50955",1,1,1,1
"MME",2,2,2,2
"ADGRD1",1,1,1,1
"DPP4",6,1,1,4
"H00856",1,1,1,1
"N74313",1,1,1,1
"TMEM106B",1,1,1,1
"FBN2",1,1,1,1
"LAMA2",1,1,1,1
"ANXA3",1,1,1,1
"AVPI1",1,1,1,1
"CRABP2",1,1,1,1
"HFL1",1,1,1,1
"W78854",1,1,1,1
"SQLE",5,5,5,5
"FAM198B",1,1,1,1
"AD036",1,1,1,1
"OSBPL1A",5,5,5,5
"WNT2",1,1,1,1
"H66594",1,1,1,1
"ASNS",2,2,2,2
"MEST",6,1,1,1
"DHCR24",5,5,5,5
"W79348",1,1,1,1
"PIM1",1,1,1,1
"RHOBTB3",4,5,3,4
"AA012995",1,1,1,1
"TMEM97",6,1,6,1
"SC5D",5,5,5,5
"SLC2A12",6,1,6,4
"SPTBN1",4,1,6,4
"IPO8",2,2,2,2
"SLC22A17",4,1,6,4
"HMGCR",5,5,5,5
"CYP1B1",4,1,3,4
"RDH10",5,5,5,5
"SYNPO2",1,1,1,1
"MID1",1,1,1,1
"AA040147",1,1,1,1
"PQLC3",5,5,5,5
"ELF2",1,1,1,1
"HBP1",6,4,4,4
"W67250",1,1,1,1
"COL3A1",4,1,1,4
"PDE8A",3,4,4,6
"C1orf198",1,1,1,1
"SUSD4",2,2,2,2
"SSPN",1,1,1,1
"PGRMC2",1,1,1,1
"VEZF1",1,1,1,1
"TXNIP",6,1,1,1
"HMGN3",4,5,3,4
"BM-002",1,1,1,1
"FAM111A",1,1,1,1
"FPGT",3,5,3,3
"KIAA1376",1,1,1,1
"WEE1",4,1,6,4
"HLTF",1,1,1,1
"HOXA11",1,1,1,1
