"1","2","3","4"
"YAL025C",2,1,3,1
"YAL036C",2,1,3,1
"YAL040C",2,5,3,5
"YDL037c",2,2,2,2
"YDR184C",2,2,2,2
"YDR299W",2,1,3,1
"YDR380W",3,1,3,4
"YDR398W",2,1,3,1
"YER006w",2,2,2,2
"YER064c",2,2,2,2
"YER126c",2,2,2,2
"YGL171W",3,1,3,1
"YIL122W",2,1,3,1
"YIL133C",2,1,3,1
"YKL009W",2,1,3,1
"YKL143W",3,3,4,3
"YLR175W",2,1,3,1
"YLR196W",2,1,3,1
"YLR222C",2,1,3,1
"YLR062C",2,2,2,2
"YLR129w",2,2,2,2
"YLL011w",2,2,2,2
"YMR093W",2,1,3,1
"YMR131C",1,2,1,4
"YMR217W",2,1,3,4
"YNL060C",2,2,2,2
"YNL061W",1,1,3,1
"YNL062C",2,1,3,1
"YNL174W",2,2,2,2
"YNL175C",2,2,2,2
"YNR038W",2,1,3,1
"YNR053C",4,4,4,4
"YOR051C",2,1,3,4
"YOL077C",1,5,1,5
"YOR206W",1,5,1,4
"YOR306C",4,4,4,2
"YOR309C",2,2,2,2
"YOR310C",2,1,3,1
"YOR312C",2,1,3,1
"YPL012W",1,1,3,1
"YBR072W",2,1,3,1
"YBR196C",2,1,3,4
"YCR012w",2,2,3,2
"YCR013C",2,2,3,2
"YDL234C",4,4,4,5
"YDR050C",2,1,3,4
"YDR258C",2,1,3,1
"YER049w",2,2,3,2
"YER067w",2,2,3,2
"YER130c",2,2,3,2
"YER150w",2,2,3,2
"YFR053C",4,4,3,4
"YFR055W",2,1,3,1
"YFR056C",2,2,3,2
"YGL055W",4,5,3,4
"YGL253W",3,3,3,3
"YGR142W",2,1,3,1
"YGR146C",2,2,2,2
"YGR192C",3,3,3,3
"YGR211W",2,5,2,5
"YHR030C",2,5,3,5
"YHR064C",2,1,3,1
"YHR174W",2,5,3,4
"YJL052W",2,1,3,4
"YJL107C",4,4,4,2
"YJL108C",2,2,2,2
"YJL165C",2,2,2,2
"YJR009C",3,3,3,3
"YJR045C",4,1,3,1
"YJR078W",2,1,3,4
"YKL060C",2,1,3,4
"YKL152C",2,1,3,4
"YKL153W",2,2,3,2
"YKR016W",4,5,3,5
"YLR194C",1,4,1,4
"YLR044c",2,2,3,2
"YLR089C",3,3,3,3
"YLR136c",2,2,3,2
"YKR061W",2,1,3,1
"YKR080W",3,3,3,4
"YLL026w",2,2,3,2
"YLR359W",2,1,3,4
"YLR414C",4,4,4,4
"YML038C",4,4,4,2
"YMR039C",3,1,3,1
"YNL160W",1,4,1,4
"YNR033W",2,1,3,4
"YOL158C",4,4,4,2
"YOR036W",4,4,3,5
"YOL059W",2,2,3,4
"YOR178C",2,5,3,5
"YOR197W",3,1,3,1
"YOR207C",2,1,3,1
"YOR208W",3,3,3,3
"YOR209C",3,3,3,3
"YOR299W",2,2,2,2
"YOR344C",2,1,3,1
"YOR385W",2,2,2,2
"YOR389W",2,2,2,2
"YPL057C",2,1,3,4
"YPL106C",2,1,3,1
"YPL277C",2,2,2,2
"YPL278C",2,2,2,2
"YPR030W",4,4,3,4
"YPR074C",2,5,3,4
"YAL012W",4,1,3,4
"YDR055w",2,2,3,2
"YDR129C",4,5,3,5
"YDR497C",4,4,4,3
"YER158c",2,2,3,2
"YGL179C",2,1,3,1
"YGR189C",4,4,3,4
"YHL021C",4,5,3,5
"YJL159W",1,4,1,4
"YJL167W",3,1,3,4
"YJL171C",2,2,2,2
"YJL213W",4,4,4,2
"YJR121W",4,1,3,4
"YKL164C",4,4,4,4
"YKL185W",1,1,3,1
"YKL193C",3,3,4,3
"YKL218C",2,1,3,1
"YKR013W",4,4,4,2
"YLR257W",4,4,4,2
"YLR258W",4,1,3,4
"YLR153c",2,2,3,2
"YLR300W",4,1,3,4
"YLR377C",3,1,3,4
"YLR392C",4,4,4,2
"YML008C",4,1,3,4
"YMR058W",2,2,2,2
"YMR104C",4,1,3,1
"YMR295C",2,2,2,2
"YMR305C",1,4,1,4
"YNL015W",3,5,3,5
"YNL074C",2,2,3,2
"YNL142W",4,4,4,3
"YNL274C",4,1,3,4
"YOL019W",4,4,4,2
"YOR128C",3,1,3,4
"YOR018W",4,4,3,2
"YOR358W",2,1,3,1
"YOR375C",4,4,3,4
"YPL061W",2,2,3,4
"YPL104W",2,1,3,4
"YAL018C",1,4,1,4
"YBL009W",1,5,1,5
"YBL078C",4,4,3,5
"YBL084C",3,1,3,1
"YBR045C",1,4,1,4
"YBR063C",4,4,4,3
"YBR064W",1,1,1,4
"YBR148W",1,4,1,4
"YBR184W",4,4,4,3
"YBR233W",2,1,3,1
"YBR250W",1,5,1,5
"YBR268W",4,1,3,4
"YCL048W",1,4,1,4
"YCLX03C",1,1,1,1
"YCR002c",1,1,1,1
"YCRX06W",3,1,1,1
"YCRX07W",3,1,1,4
"YDL008w",1,1,1,1
"YDL103C",4,1,3,4
"YDL114w",1,1,1,1
"YDL154W",1,5,3,5
"YDL155W",3,5,4,5
"YDL186w",1,3,1,4
"YDL187c",3,3,1,3
"YDL239c",4,5,4,5
"YDR042C",4,4,4,3
"YDR065w",3,3,1,4
"YDR104C",1,4,1,4
"YDR113C",4,5,3,5
"YDR117C",4,1,3,1
"YDR118W",3,1,3,1
"YDR177W",3,1,4,1
"YDR191W",3,1,3,1
"YDR218C",1,4,1,4
"YDR253C",3,1,3,1
"YDR260C",1,1,1,1
"YDR263C",4,1,3,1
"YDR273W",1,4,1,4
"YDR317W",4,1,3,1
"YDR326C",4,4,4,3
"YDR355C",1,1,1,1
"YDR371W",3,3,1,3
"YDR402C",1,4,1,4
"YDR403W",1,4,1,4
"YDR438W",4,4,4,3
"YDR508C",4,4,4,3
"YDR516C",1,3,1,3
"YDR522C",1,4,1,4
"YDR523C",1,3,1,4
"YEL016c",3,3,1,4
"YEL023c",1,3,1,3
"YEL061c",4,5,4,5
"YER003c",5,5,5,4
"YER085c",3,3,1,3
"YER096w",1,5,1,5
"YER106w",3,3,1,4
"YER115c",1,1,1,1
"YER180c",3,1,1,1
"YER182w",3,3,1,4
"YFL011W",4,4,4,3
"YFL012W",4,4,4,3
"YFL040W",4,4,4,3
"YFR012W",4,4,4,3
"YFR023W",4,4,4,3
"YFR028C",3,5,4,5
"YFR032C",4,4,4,3
"YGL015C",4,4,4,3
"YGL116W",1,5,1,5
"YGL138C",4,4,4,3
"YGL162W",4,1,3,1
"YGL170C",1,4,1,4
"YGL180W",3,1,3,1
"YGL230C",4,4,4,3
"YGR059W",1,4,1,4
"YGR108W",4,5,4,5
"YGR109C",3,5,3,5
"YGR110W",4,4,4,4
"YGR185C",4,1,3,4
"YGR202C",3,1,3,4
"YGR224W",4,4,4,3
"YGR225W",3,3,1,3
"YGR226C",4,5,4,5
"YGR228W",1,1,1,4
"YGR229C",4,5,4,5
"YGR266W",4,4,4,3
"YGR273C",4,4,4,3
"YHL012W",4,4,4,3
"YHR015W",4,4,4,1
"YHR124W",1,5,1,5
"YHR150W",4,5,4,5
"YHR152W",3,5,4,5
"YHR166C",3,1,3,1
"YHR184W",1,4,1,4
"YHR185C",1,4,1,4
"YIL045W",4,1,3,1
"YIL057C",4,4,4,4
"YIL099W",4,1,4,1
"YIL112W",1,5,3,5
"YIL139C",3,1,3,4
"YIL144W",3,3,4,3
"YIL159W",4,5,4,5
"YIR013C",3,1,3,1
"YJL037W",1,4,1,4
"YJL038C",1,4,1,4
"YJL160C",4,4,4,3
"YJR036C",3,1,3,1
"YJR099W",2,2,2,2
"YJR119C",3,1,3,1
"YKL022C",3,1,3,1
"YKL042W",4,5,4,5
"YKL096W",1,3,1,3
"YKL104C",1,1,3,4
"YKL107W",4,4,4,5
"YKL189W",3,3,4,3
"YKR005C",4,4,4,3
"YLR195C",3,3,4,3
"YLR209C",4,1,3,4
"YLR210W",3,5,4,5
"YLR213C",1,4,1,4
"YLR220W",2,2,2,2
"YLR227C",3,3,1,3
"YLR012C",4,4,4,3
"YLR013W",4,1,3,1
"YLR030W",4,4,4,3
"YLR045c",1,5,1,5
"YLR049C",4,4,4,3
"YLR054C",1,4,1,4
"YKR089C",3,3,2,4
"YLL004w",3,3,1,4
"YLL005C",1,4,1,4
"YLL012W",4,1,4,4
"YLR265C",3,1,3,1
"YLR273C",4,1,3,1
"YLR274W",3,1,3,1
"YLR290C",4,4,4,4
"YLR307W",1,4,1,4
"YLR308W",1,4,1,4
"YLR314C",3,5,2,5
"YLR341W",1,4,1,4
"YLR343W",1,4,1,4
"YLR368W",3,1,4,1
"YML034W",4,5,3,5
"YML065W",4,1,3,1
"YML119W",4,4,4,3
"YMR001C",3,5,3,5
"YMR017W",1,4,1,4
"YMR118C",4,4,4,5
"YMR125W",3,1,3,1
"YMR184W",4,1,4,1
"YMR188C",4,1,3,4
"YMR232W",1,3,1,3
"YMR272C",4,5,4,4
"YNL013C",1,5,1,5
"YNL014W",4,1,3,1
"YNL018C",4,4,4,3
"YNL019C",4,4,4,3
"YNL033W",4,4,4,3
"YNL034W",4,4,4,3
"YNL128W",1,4,1,4
"YNL155W",3,1,4,1
"YNL204C",3,3,1,3
"YNL205C",3,3,1,3
"YNL219C",3,1,3,1
"YNL225C",4,5,4,5
"YNL318C",4,4,4,3
"YNL319W",1,1,1,1
"YNR034W",4,4,4,3
"YOL015W",4,4,4,3
"YOR073W",4,5,4,5
"YOL132W",1,4,1,4
"YOR033C",3,1,3,1
"YOL024W",4,4,4,3
"YOL047C",1,4,1,4
"YOL091W",1,4,1,4
"YOR152C",4,5,4,5
"YOR190W",1,4,1,4
"YOR214C",4,4,4,3
"YOR242C",1,3,1,4
"YOR249C",4,1,4,1
"YOR255W",1,4,1,4
"YOR298W",1,4,1,4
"YOR313C",1,4,1,4
"YOR339C",3,1,3,1
"YOR355W",4,4,4,4
"YOR365C",4,4,4,3
"YOR366W",1,1,1,1
"YPL021W",4,4,4,3
"YPL027W",1,4,1,4
"YPL033C",4,5,3,4
"YPL034W",4,4,4,3
"YPL124W",4,5,4,5
"YPL130W",1,3,1,3
"YPL178W",4,1,3,1
"YPR027C",4,4,4,3
"YPR077C",1,1,1,1
"YPR078C",4,4,4,3
"YPR120C",3,5,3,5
"YPR140W",3,5,3,4
"YPR141C",1,5,1,5
"YAL062W",4,4,3,4
"YAR007C",4,1,3,1
"YAL067C",4,4,4,3
"YBR186W",4,5,3,5
"YCR010C",4,4,4,3
"YDR015c",5,4,5,5
"YDR256C",3,3,3,3
"YDR285W",4,5,3,5
"YDR374C",3,5,4,5
"YDR446W",1,5,3,5
"YER024w",4,4,4,5
"YER044c-a",5,4,5,5
"YER179w",4,4,4,5
"YFL003C",1,5,3,5
"YGL009C",4,4,3,4
"YGL033W",1,5,3,5
"YGL081W",4,4,4,3
"YGL183C",4,5,3,5
"YGL249W",1,5,3,5
"YGL251C",4,5,3,5
"YHL022C",4,5,3,5
"YHL024W",3,3,1,3
"YHR014W",4,5,4,5
"YHR079C-B",5,4,5,4
"YHR153C",3,3,1,3
"YHR157W",1,5,3,5
"YHR202W",4,4,4,3
"YHR208W",4,1,3,4
"YIL031W",3,3,4,3
"YIL072W",4,5,4,5
"YIL121W",4,4,4,3
"YJL074C",3,3,1,3
"YJL106W",4,5,4,5
"YJR152W",4,4,4,3
"YKL120W",4,4,4,3
"YKR033C",4,4,4,5
"YKR034W",4,1,3,1
"YLL046c",5,4,5,4
"YLL047W",5,4,5,4
"YLR096w",5,4,5,4
"YKR066C",4,4,4,3
"YLL027W",4,4,3,4
"YLR263W",4,5,4,5
"YLR312C",4,1,4,1
"YLR438W",4,4,3,4
"YLR445W",4,5,3,5
"YML042W",4,4,3,4
"YML091C",3,1,3,1
"YMR133W",1,5,3,5
"YMR147W",4,4,4,5
"YMR148W",4,4,4,5
"YMR198W",4,5,4,5
"YNL116W",3,1,4,1
"YNL196C",4,5,4,5
"YOR100C",4,4,3,4
"YOL131W",4,4,4,3
"YOL104C",4,5,3,5
"YOR177C",4,4,4,4
"YOR350C",4,1,3,1
"YOR351C",4,5,4,5
"YPL111W",4,1,3,4
"YPL121C",1,5,3,5
"YPL208W",4,1,3,1
"YPR007C",4,5,3,5
"YAL038W",3,3,3,4
"YBL072C",2,1,3,1
"YBR005W",4,4,4,4
"YBR031W",2,1,3,1
"YBR181C",2,1,3,1
"YCL064c",2,2,2,2
"YDL082w",2,2,2,2
"YDR011W",2,2,2,2
"YDR012W",2,1,3,1
"YDR382W",2,1,3,1
"YDR417C",2,2,2,2
"YDR418W",2,1,3,1
"YDR471W",2,1,3,1
"YEL054c",2,2,2,2
"YER020w",2,2,3,2
"YER056c-a",2,2,2,2
"YER074w",2,2,2,2
"YER102w",2,2,2,2
"YFR031BC",2,2,2,2
"YGL031C",2,1,3,1
"YGL076C",2,1,3,1
"YGR085C",2,1,3,1
"YGR148C",2,1,3,1
"YHL015W",2,1,3,1
"YHR010W",2,1,3,1
"YHR139C",1,4,1,4
"YHR203C",2,1,3,1
"YIL018W",2,1,3,1
"YIL052C",2,1,3,1
"YJL177W",2,1,3,1
"YJR123W",2,1,3,1
"YJR145C",2,1,3,1
"YKL056C",2,1,3,1
"YLL044W",2,2,2,2
"YLL045c",2,2,2,2
"YLR058c",2,2,3,2
"YLR075w",2,2,3,2
"YLR076C",2,2,2,2
"YLR134w",2,2,3,2
"YKR097W",2,1,3,4
"YLR325C",2,1,3,1
"YLR339C",2,2,2,2
"YLR441C",2,1,3,1
"YLR448W",2,1,3,1
"YML063W",2,1,3,1
"YMR242C",2,1,3,1
"YMR316W",3,3,2,3
"YNL069C",2,1,3,1
"YNL096C",1,1,3,1
"YNL098C",3,3,1,3
"YNL119W",3,1,3,1
"YNL178W",4,1,3,1
"YNL301C",2,1,3,1
"YOL010W",2,1,3,1
"YOL016C",2,1,3,1
"YOR096W",2,1,3,1
"YOL120C",2,1,3,1
"YOL039W",2,1,3,1
"YOL040C",4,1,3,1
"YPL079W",2,1,3,1
"YPL081W",2,1,3,1
"YPL090C",2,1,3,1
"YPL131W",2,1,3,1
"YPL198W",2,1,3,1
