"1" "2" "3" "4" "5" "6"
"YAL025C" 2 1 2 5 1 1
"YAL036C" 4 4 2 4 1 1
"YAL040C" 4 4 3 2 5 2
"YDL037c" 2 1 2 5 3 3
"YDR184C" 1 2 1 2 5 2
"YDR299W" 2 1 2 5 4 1
"YDR380W" 4 2 4 4 1 1
"YDR398W" 2 1 2 5 4 1
"YER006w" 2 1 3 5 1 3
"YER064c" 2 1 3 2 1 3
"YER126c" 2 1 4 5 1 3
"YGL171W" 2 1 2 5 4 1
"YIL122W" 4 2 2 2 5 1
"YIL133C" 4 4 2 4 1 2
"YKL009W" 2 1 4 5 1 1
"YKL143W" 2 1 3 5 1 2
"YLR175W" 2 2 2 5 4 1
"YLR196W" 2 1 2 5 4 1
"YLR222C" 2 1 2 5 4 1
"YLR062C" 4 2 4 2 1 1
"YLR129w" 2 1 4 5 1 1
"YLL011w" 2 1 4 5 1 1
"YMR093W" 2 1 2 5 4 1
"YMR131C" 2 1 3 5 1 2
"YMR217W" 4 2 4 4 1 3
"YNL060C" 2 1 4 5 3 1
"YNL061W" 2 1 2 5 1 1
"YNL062C" 4 4 2 3 4 1
"YNL174W" 2 1 4 5 3 1
"YNL175C" 3 1 3 5 1 2
"YNR038W" 2 1 2 5 4 1
"YNR053C" 2 1 3 5 1 4
"YOR051C" 4 2 2 4 1 2
"YOL077C" 2 1 3 5 1 2
"YOR206W" 2 1 3 5 1 2
"YOR306C" 2 1 3 2 3 4
"YOR309C" 2 1 4 5 3 1
"YOR310C" 2 1 2 5 4 1
"YOR312C" 4 4 2 4 1 1
"YPL012W" 2 1 2 5 1 1
"YBR072W" 4 1 2 3 1 1
"YBR196C" 4 2 4 3 1 3
"YCR012w" 2 1 3 5 2 3
"YCR013C" 2 5 3 5 2 3
"YDL234C" 3 1 3 2 5 4
"YDR050C" 4 2 4 4 1 3
"YDR258C" 4 1 2 5 1 1
"YER049w" 2 5 2 5 2 3
"YER067w" 2 5 3 2 1 3
"YER130c" 4 5 5 2 1 3
"YER150w" 4 5 3 2 1 3
"YFR053C" 1 2 2 3 1 3
"YFR055W" 1 2 4 5 1 3
"YFR056C" 2 5 3 2 2 3
"YGL055W" 4 2 2 4 1 3
"YGL253W" 4 2 3 5 3 3
"YGR142W" 4 1 2 3 1 3
"YGR146C" 3 1 3 5 1 2
"YGR192C" 1 2 2 2 1 3
"YGR211W" 1 1 3 2 5 2
"YHR030C" 4 1 3 5 5 2
"YHR064C" 4 2 2 5 4 3
"YHR174W" 4 2 4 2 1 3
"YJL052W" 4 2 4 4 1 3
"YJL107C" 3 1 3 5 1 2
"YJL108C" 3 1 3 5 1 2
"YJL165C" 4 4 2 2 1 2
"YJR009C" 1 2 2 2 1 3
"YJR045C" 4 4 2 3 4 1
"YJR078W" 4 2 4 4 1 3
"YKL060C" 4 2 4 3 1 3
"YKL152C" 4 2 4 4 1 3
"YKL153W" 2 1 3 2 1 3
"YKR016W" 2 1 3 3 1 3
"YLR194C" 2 4 3 1 1 4
"YLR044c" 2 5 5 5 2 3
"YLR089C" 4 2 4 2 3 3
"YLR136c" 2 5 3 2 1 3
"YKR061W" 4 4 2 3 1 3
"YKR080W" 1 2 4 3 1 3
"YLL026w" 2 5 2 5 1 3
"YLR359W" 4 2 4 4 1 3
"YLR414C" 2 1 3 5 1 4
"YML038C" 2 1 3 2 3 3
"YMR039C" 4 1 2 3 3 1
"YNL160W" 2 4 3 5 1 4
"YNR033W" 4 2 4 4 1 3
"YOL158C" 2 1 3 2 3 3
"YOR036W" 2 1 3 5 1 3
"YOL059W" 1 2 2 3 1 3
"YOR178C" 1 4 2 3 4 2
"YOR197W" 4 4 2 2 3 1
"YOR207C" 4 2 2 4 1 1
"YOR208W" 4 4 2 1 3 2
"YOR209C" 4 2 2 4 3 3
"YOR299W" 4 1 3 2 5 3
"YOR344C" 4 2 2 3 1 3
"YOR385W" 3 1 3 5 1 2
"YOR389W" 3 1 3 5 1 2
"YPL057C" 4 2 2 4 1 3
"YPL106C" 4 4 2 3 4 1
"YPL277C" 3 1 3 5 1 2
"YPL278C" 3 1 3 5 1 2
"YPR030W" 4 1 3 5 1 4
"YPR074C" 4 2 2 4 1 3
"YAL012W" 4 3 4 3 1 3
"YDR055w" 2 5 2 2 1 3
"YDR129C" 5 1 3 2 5 2
"YDR497C" 1 1 3 2 3 4
"YER158c" 2 5 2 5 2 3
"YGL179C" 4 4 2 1 1 3
"YGR189C" 4 4 3 5 1 3
"YHL021C" 3 1 3 5 1 2
"YJL159W" 2 4 3 1 1 4
"YJL167W" 4 2 2 4 1 3
"YJL171C" 3 1 3 5 1 2
"YJL213W" 3 1 3 5 1 2
"YJR121W" 4 3 2 4 1 3
"YKL164C" 2 1 3 5 1 4
"YKL185W" 4 3 2 3 4 1
"YKL193C" 1 3 2 2 3 2
"YKL218C" 4 2 2 3 1 3
"YKR013W" 3 1 3 2 3 4
"YLR257W" 3 1 3 5 1 2
"YLR258W" 4 2 2 4 1 3
"YLR153c" 3 5 5 2 4 3
"YLR300W" 4 4 3 3 1 3
"YLR377C" 1 2 2 3 1 3
"YLR392C" 3 1 3 5 1 2
"YML008C" 4 2 4 4 1 3
"YMR058W" 3 1 3 2 3 4
"YMR104C" 2 4 2 5 1 1
"YMR295C" 3 1 3 5 1 2
"YMR305C" 5 1 3 1 5 3
"YNL015W" 5 3 2 3 4 3
"YNL074C" 3 1 3 5 3 3
"YNL142W" 3 3 3 3 3 4
"YNL274C" 1 3 4 3 4 3
"YOL019W" 3 1 3 5 1 2
"YOR128C" 4 2 2 3 1 3
"YOR018W" 3 1 3 3 4 4
"YOR358W" 1 3 2 2 1 3
"YOR375C" 4 3 4 3 4 3
"YPL061W" 1 1 2 3 1 3
"YPL104W" 4 2 2 3 4 3
"YAL018C" 5 4 1 1 3 4
"YBL009W" 5 4 1 3 5 2
"YBL078C" 1 1 4 3 1 2
"YBL084C" 4 4 2 1 4 1
"YBR045C" 5 4 1 1 3 4
"YBR063C" 3 1 3 5 3 2
"YBR064W" 1 4 1 4 1 1
"YBR148W" 5 4 1 1 3 4
"YBR184W" 3 1 3 5 3 2
"YBR233W" 5 4 4 3 4 1
"YBR250W" 5 4 1 3 5 2
"YBR268W" 4 2 4 4 1 2
"YCL048W" 5 4 1 1 3 4
"YCLX03C" 1 4 1 1 1 1
"YCR002c" 1 4 1 1 3 1
"YCRX06W" 1 4 1 1 1 1
"YCRX07W" 1 4 1 4 3 1
"YDL008w" 1 4 1 4 1 1
"YDL103C" 4 2 4 4 1 1
"YDL114w" 1 4 1 1 3 1
"YDL154W" 5 4 1 3 4 2
"YDL155W" 5 4 1 1 5 2
"YDL186w" 1 4 1 4 3 1
"YDL187c" 1 4 1 4 3 1
"YDL239c" 5 4 1 4 5 2
"YDR042C" 3 1 3 5 1 2
"YDR065w" 1 4 1 4 3 1
"YDR104C" 5 4 1 1 3 4
"YDR113C" 5 4 1 3 4 2
"YDR117C" 2 1 2 3 4 1
"YDR118W" 4 4 2 3 4 1
"YDR177W" 1 4 4 3 1 1
"YDR191W" 1 2 4 3 1 1
"YDR218C" 5 4 1 1 3 4
"YDR253C" 4 3 4 3 5 1
"YDR260C" 5 4 1 1 3 1
"YDR263C" 5 4 4 3 4 1
"YDR273W" 5 4 1 4 4 4
"YDR317W" 5 2 4 3 4 1
"YDR326C" 1 1 3 1 3 4
"YDR355C" 1 4 1 1 3 2
"YDR371W" 5 4 1 1 3 4
"YDR402C" 5 4 1 1 3 4
"YDR403W" 5 4 1 1 3 4
"YDR438W" 3 1 3 5 3 2
"YDR508C" 1 1 3 2 3 4
"YDR516C" 5 4 1 1 3 4
"YDR522C" 5 4 1 1 3 4
"YDR523C" 5 4 1 1 3 4
"YEL016c" 5 4 1 4 3 1
"YEL023c" 1 4 1 1 3 1
"YEL061c" 5 4 1 4 5 2
"YER003c" 5 4 1 4 4 5
"YER085c" 1 4 1 4 3 1
"YER096w" 1 4 1 1 2 2
"YER106w" 1 4 1 4 3 1
"YER115c" 1 4 1 1 1 1
"YER180c" 1 4 1 1 3 1
"YER182w" 1 4 1 4 3 1
"YFL011W" 1 1 3 4 3 4
"YFL012W" 3 1 3 5 1 2
"YFL040W" 1 1 3 4 1 4
"YFR012W" 3 1 3 5 1 2
"YFR023W" 3 1 3 5 3 2
