"1","2","3","4"
"YAL025C",2,3,5,2
"YAL036C",4,4,4,4
"YAL040C",5,5,4,5
"YDL037c",1,1,1,1
"YDR184C",1,2,2,3
"YDR299W",2,3,5,2
"YDR380W",4,3,4,3
"YDR398W",2,3,5,2
"YER006w",1,1,1,1
"YER064c",1,1,1,1
"YER126c",1,1,1,1
"YGL171W",2,3,5,2
"YIL122W",4,4,4,4
"YIL133C",4,4,4,4
"YKL009W",2,3,5,2
"YKL143W",2,1,5,2
"YLR175W",2,3,5,3
"YLR196W",2,3,5,2
"YLR222C",2,3,5,2
"YLR062C",1,1,1,1
"YLR129w",1,1,1,1
"YLL011w",1,1,1,1
"YMR093W",2,3,5,2
"YMR131C",2,5,5,2
"YMR217W",4,4,4,4
"YNL060C",1,1,1,1
"YNL061W",2,3,5,2
"YNL062C",4,3,4,3
"YNL174W",1,1,1,1
"YNL175C",3,1,3,2
"YNR038W",2,3,5,2
"YNR053C",2,5,5,2
"YOR051C",4,4,4,4
"YOL077C",2,5,5,2
"YOR206W",2,5,5,2
"YOR306C",3,1,3,1
"YOR309C",1,1,1,1
"YOR310C",2,3,5,3
"YOR312C",4,4,4,4
"YPL012W",2,3,5,2
"YBR072W",4,4,4,4
"YBR196C",1,3,1,3
"YCR012w",1,1,1,1
"YCR013C",1,1,1,1
"YDL234C",3,3,3,3
"YDR050C",5,3,1,3
"YDR258C",4,4,4,4
"YER049w",1,1,1,1
"YER067w",1,1,1,1
"YER130c",1,1,1,1
"YER150w",1,1,1,1
"YFR053C",1,3,1,3
"YFR055W",1,1,1,1
"YFR056C",1,1,1,1
"YGL055W",1,3,1,3
"YGL253W",4,4,4,4
"YGR142W",4,4,4,4
"YGR146C",3,1,3,2
"YGR192C",1,1,1,1
"YGR211W",1,1,1,1
"YHR030C",4,4,4,4
"YHR064C",4,4,4,4
"YHR174W",5,3,1,3
"YJL052W",4,3,4,3
"YJL107C",3,1,3,2
"YJL108C",3,1,3,2
"YJL165C",4,2,2,4
"YJR009C",1,1,1,1
"YJR045C",4,4,4,4
"YJR078W",4,4,4,4
"YKL060C",4,3,4,3
"YKL152C",4,3,4,3
"YKL153W",1,1,1,1
"YKR016W",1,3,1,3
"YLR194C",3,5,3,5
"YLR044c",1,1,1,1
"YLR089C",4,4,4,4
"YLR136c",1,1,1,1
"YKR061W",4,4,4,4
"YKR080W",1,1,1,1
"YLL026w",1,1,1,1
"YLR359W",4,4,4,4
"YLR414C",2,5,5,2
"YML038C",3,1,3,1
"YMR039C",4,3,4,3
"YNL160W",5,5,5,5
"YNR033W",4,4,4,4
"YOL158C",3,1,3,1
"YOR036W",3,3,3,2
