"1" "2" "3" "4" "5" "6"
"YAL025C" 2 6 6 2 2 2
"YAL036C" 4 6 6 1 3 3
"YAL040C" 5 4 6 6 1 5
"YDL037c" 1 1 1 1 1 1
"YDR184C" 1 5 5 5 3 5
"YDR299W" 2 6 6 2 2 3
"YDR380W" 4 1 2 1 4 1
"YDR398W" 2 6 6 2 6 5
"YER006w" 1 1 1 1 1 1
"YER064c" 1 1 1 1 1 1
"YER126c" 1 1 1 1 1 1
"YGL171W" 2 6 6 2 2 2
"YIL122W" 4 2 6 6 6 5
"YIL133C" 4 6 6 1 3 3
"YKL009W" 2 6 6 2 2 1
"YKL143W" 6 4 1 2 3 2
"YLR175W" 2 6 6 2 2 3
"YLR196W" 2 6 6 2 2 5
"YLR222C" 2 6 6 2 2 3
"YLR062C" 1 1 1 1 1 1
"YLR129w" 1 1 1 1 1 1
"YLL011w" 1 1 1 1 1 1
"YMR093W" 2 6 6 2 6 5
"YMR131C" 2 4 1 2 3 2
"YMR217W" 4 1 3 3 4 5
"YNL060C" 1 1 1 1 1 1
"YNL061W" 2 6 6 2 2 2
"YNL062C" 4 6 6 6 3 5
"YNL174W" 1 1 1 1 1 1
"YNL175C" 3 4 1 2 3 2
"YNR038W" 2 6 6 2 2 3
"YNR053C" 6 4 1 2 5 6
"YOR051C" 4 6 6 1 3 3
"YOL077C" 2 4 1 3 1 6
"YOR206W" 2 4 1 2 3 2
"YOR306C" 6 4 1 4 5 2
"YOR309C" 1 1 1 1 1 1
"YOR310C" 2 6 6 2 2 3
"YOR312C" 4 6 6 1 3 3
"YPL012W" 2 6 6 2 2 2
"YBR072W" 4 6 6 6 2 4
"YBR196C" 1 1 6 3 4 1
"YCR012w" 1 1 1 1 1 1
"YCR013C" 1 1 1 1 1 1
"YDL234C" 3 4 1 4 5 2
"YDR050C" 5 1 2 3 4 1
"YDR258C" 4 6 6 3 3 4
"YER049w" 1 1 1 1 1 1
"YER067w" 1 1 1 1 1 1
"YER130c" 1 1 1 1 1 1
"YER150w" 1 1 1 1 1 1
"YFR053C" 1 1 3 3 4 1
"YFR055W" 1 1 2 3 2 2
"YFR056C" 1 1 1 1 1 1
"YGL055W" 1 1 3 3 4 6
"YGL253W" 4 4 3 5 4 1
"YGR142W" 4 4 6 4 2 1
"YGR146C" 3 4 1 2 3 2
"YGR192C" 1 6 3 3 4 2
"YGR211W" 1 4 5 5 3 5
"YHR030C" 4 4 6 2 3 2
"YHR064C" 4 6 6 2 6 3
"YHR174W" 5 1 2 3 4 1
"YJL052W" 4 1 2 3 4 1
"YJL107C" 3 4 1 2 3 2
"YJL108C" 3 4 1 2 3 2
"YJL165C" 4 6 5 6 3 4
"YJR009C" 1 6 3 3 4 2
"YJR045C" 4 6 6 6 2 4
"YJR078W" 4 1 2 1 4 1
"YKL060C" 4 1 2 3 4 1
"YKL152C" 4 1 2 3 4 1
"YKL153W" 1 1 1 1 1 1
"YKR016W" 1 4 6 3 1 6
"YLR194C" 3 4 1 4 5 2
"YLR044c" 1 1 1 1 1 1
"YLR089C" 4 1 2 5 3 1
"YLR136c" 1 1 1 1 1 1
"YKR061W" 4 6 6 1 2 3
"YKR080W" 1 1 3 3 4 3
"YLL026w" 1 1 1 1 1 1
"YLR359W" 4 1 6 1 4 3
"YLR414C" 2 5 1 4 5 2
"YML038C" 6 4 1 4 5 2
"YMR039C" 4 6 6 6 6 5
"YNL160W" 5 3 1 4 5 6
"YNR033W" 4 1 2 1 4 3
"YOL158C" 6 4 1 4 5 2
"YOR036W" 6 4 1 4 5 2
"YOL059W" 1 1 3 3 4 1
"YOR178C" 1 3 6 6 6 1
"YOR197W" 4 6 3 5 2 1
"YOR207C" 4 6 6 6 2 5
"YOR208W" 4 6 4 5 3 4
"YOR209C" 1 2 3 5 6 5
"YOR299W" 4 4 5 4 6 1
"YOR344C" 4 6 6 3 4 5
"YOR385W" 3 4 1 2 3 2
"YOR389W" 3 4 1 2 3 2
"YPL057C" 4 1 3 1 4 3
"YPL106C" 4 6 6 6 2 4
"YPL277C" 3 4 1 2 3 2
"YPL278C" 3 4 1 2 3 2
"YPR030W" 4 4 1 4 6 5
"YPR074C" 5 2 3 3 4 3
"YAL012W" 4 1 2 1 4 3
"YDR055w" 1 1 1 1 1 1
"YDR129C" 5 4 6 3 1 6
"YDR497C" 1 4 1 4 5 2
"YER158c" 1 1 1 1 1 1
"YGL179C" 4 6 3 6 4 4
"YGR189C" 4 6 1 4 5 1
"YHL021C" 5 4 1 3 1 2
"YJL159W" 3 4 1 4 5 2
"YJL167W" 1 1 3 1 4 3
"YJL171C" 3 4 1 2 3 2
"YJL213W" 3 4 1 2 3 2
"YJR121W" 4 1 3 3 4 5
"YKL164C" 3 4 1 4 5 6
"YKL185W" 5 2 6 6 2 5
"YKL193C" 1 4 3 5 3 6
"YKL218C" 4 1 2 3 2 3
"YKR013W" 6 4 1 4 5 2
"YLR257W" 3 4 1 2 3 2
"YLR258W" 1 6 3 1 6 1
"YLR153c" 1 1 1 1 1 1
"YLR300W" 4 6 1 4 6 1
"YLR377C" 1 6 3 3 4 2
"YLR392C" 3 4 1 2 3 2
"YML008C" 4 1 2 1 4 3
"YMR058W" 3 4 5 5 5 2
"YMR104C" 2 6 4 2 2 4
"YMR295C" 3 4 1 2 3 2
"YMR305C" 5 5 4 1 5 5
"YNL015W" 5 6 6 6 1 3
"YNL074C" 3 4 1 2 3 2
"YNL142W" 3 4 1 5 5 2
"YNL274C" 1 1 2 1 4 1
"YOL019W" 3 4 1 2 3 2
"YOR128C" 4 1 6 3 4 5
"YOR018W" 3 4 6 4 6 5
"YOR358W" 1 2 3 3 6 5
"YOR375C" 4 2 2 1 4 3
"YPL061W" 1 1 6 3 4 2
"YPL104W" 4 1 6 6 2 3
"YAL018C" 5 3 4 1 5 6
"YBL009W" 5 3 6 6 1 6
"YBL078C" 1 4 6 4 3 1
"YBL084C" 4 3 6 6 2 4
"YBR045C" 5 5 4 1 5 3
"YBR063C" 3 4 1 2 3 2
"YBR064W" 1 1 1 1 1 1
"YBR148W" 5 5 4 1 5 6
"YBR184W" 3 4 1 2 3 2
"YBR233W" 5 4 6 6 2 5
"YBR250W" 5 4 6 6 1 6
"YBR268W" 4 4 6 6 6 3
"YCL048W" 5 5 4 1 5 2
"YCLX03C" 1 1 1 1 1 1
"YCR002c" 1 1 1 1 1 1
"YCRX06W" 1 1 1 1 1 1
"YCRX07W" 1 1 1 1 1 1
"YDL008w" 1 1 1 1 1 1
"YDL103C" 4 1 3 1 4 5
