"1","2"
"YAL025C",2,2
"YAL036C",6,6
"YAL040C",1,1
"YDL037c",1,1
"YDR184C",1,1
"YDR299W",2,2
"YDR380W",1,1
"YDR398W",2,2
"YER006w",1,1
"YER064c",1,1
"YER126c",1,1
"YGL171W",2,2
"YIL122W",5,6
"YIL133C",6,6
"YKL009W",2,2
"YKL143W",2,2
"YLR175W",2,2
"YLR196W",2,2
"YLR222C",2,2
"YLR062C",1,1
"YLR129w",1,1
"YLL011w",1,1
"YMR093W",2,2
"YMR131C",2,2
"YMR217W",1,1
"YNL060C",1,1
"YNL061W",2,2
"YNL062C",6,6
"YNL174W",1,1
"YNL175C",2,5
"YNR038W",2,2
"YNR053C",2,2
"YOR051C",6,6
"YOL077C",2,2
"YOR206W",2,2
"YOR306C",4,4
"YOR309C",1,1
"YOR310C",2,2
"YOR312C",6,6
"YPL012W",2,2
"YBR072W",6,6
"YBR196C",1,1
"YCR012w",1,1
"YCR013C",1,1
"YDL234C",4,4
"YDR050C",1,1
"YDR258C",6,6
"YER049w",1,1
"YER067w",1,1
"YER130c",1,1
"YER150w",1,1
"YFR053C",1,1
"YFR055W",1,1
"YFR056C",1,1
"YGL055W",1,1
"YGL253W",1,1
"YGR142W",6,6
"YGR146C",2,5
"YGR192C",1,1
"YGR211W",1,1
"YHR030C",2,2
"YHR064C",6,6
"YHR174W",1,1
"YJL052W",1,1
"YJL107C",2,5
"YJL108C",2,5
"YJL165C",6,6
"YJR009C",1,1
"YJR045C",6,6
"YJR078W",1,1
"YKL060C",1,1
"YKL152C",1,1
"YKL153W",1,1
"YKR016W",1,1
"YLR194C",4,4
"YLR044c",1,1
"YLR089C",1,1
"YLR136c",1,1
"YKR061W",6,6
"YKR080W",1,1
"YLL026w",1,1
"YLR359W",1,1
"YLR414C",4,4
"YML038C",4,4
"YMR039C",1,1
"YNL160W",4,4
"YNR033W",1,1
"YOL158C",4,4
"YOR036W",4,4
"YOL059W",1,1
"YOR178C",1,1
"YOR197W",6,6
"YOR207C",6,6
"YOR208W",6,6
"YOR209C",1,1
"YOR299W",4,4
"YOR344C",6,6
"YOR385W",2,5
"YOR389W",2,5
"YPL057C",1,1
"YPL106C",6,6
"YPL277C",2,5
"YPL278C",2,5
"YPR030W",4,4
"YPR074C",1,1
"YAL012W",1,1
"YDR055w",1,1
"YDR129C",4,4
"YDR497C",4,4
"YER158c",1,1
"YGL179C",6,6
"YGR189C",4,4
"YHL021C",4,4
"YJL159W",4,4
"YJL167W",1,1
"YJL171C",2,5
"YJL213W",2,5
"YJR121W",1,1
"YKL164C",4,4
"YKL185W",3,3
"YKL193C",1,1
"YKL218C",6,6
"YKR013W",4,4
"YLR257W",2,5
"YLR258W",1,1
"YLR153c",1,1
"YLR300W",4,4
"YLR377C",1,1
"YLR392C",2,5
"YML008C",1,1
"YMR058W",1,5
"YMR104C",6,6
"YMR295C",2,5
"YMR305C",5,3
"YNL015W",6,6
"YNL074C",2,5
"YNL142W",1,5
"YNL274C",1,1
"YOL019W",2,5
"YOR128C",1,1
"YOR018W",4,5
"YOR358W",1,1
"YOR375C",1,1
"YPL061W",1,1
"YPL104W",6,6
"YAL018C",3,3
"YBL009W",3,3
"YBL078C",1,1
"YBL084C",3,3
"YBR045C",5,3
"YBR063C",2,5
"YBR064W",1,1
"YBR148W",5,3
"YBR184W",2,5
"YBR233W",6,6
"YBR250W",3,3
"YBR268W",6,6
"YCL048W",5,4
"YCLX03C",1,1
"YCR002c",1,1
"YCRX06W",1,1
"YCRX07W",1,1
"YDL008w",1,1
"YDL103C",1,1
"YDL114w",1,1
"YDL154W",1,1
"YDL155W",3,3
"YDL186w",1,1
"YDL187c",1,1
"YDL239c",1,1
"YDR042C",2,5
"YDR065w",1,1
"YDR104C",5,3
"YDR113C",1,5
"YDR117C",2,2
"YDR118W",3,3
"YDR177W",3,3
"YDR191W",1,1
"YDR218C",5,3
"YDR253C",1,1
"YDR260C",3,3
"YDR263C",6,6
"YDR273W",5,3
"YDR317W",6,6
"YDR326C",4,4
"YDR355C",1,1
"YDR371W",5,3
"YDR402C",3,3
"YDR403W",3,3
"YDR438W",2,5
"YDR508C",4,4
"YDR516C",5,3
"YDR522C",5,3
"YDR523C",5,3
"YEL016c",1,1
"YEL023c",1,1
"YEL061c",1,1
"YER003c",1,1
"YER085c",1,1
"YER096w",1,1
"YER106w",1,1
"YER115c",1,1
"YER180c",1,1
"YER182w",1,1
"YFL011W",4,4
"YFL012W",2,5
"YFL040W",4,4
"YFR012W",2,5
"YFR023W",2,5
"YFR028C",1,1
"YFR032C",2,5
"YGL015C",2,5
"YGL116W",3,3
"YGL138C",2,5
"YGL162W",6,6
"YGL170C",5,3
"YGL180W",1,1
"YGL230C",2,5
"YGR059W",5,3
"YGR108W",3,3
"YGR109C",1,1
"YGR110W",1,1
"YGR185C",6,6
"YGR202C",1,1
"YGR224W",4,4
"YGR225W",5,3
"YGR226C",1,1
"YGR228W",1,1
"YGR229C",1,1
"YGR266W",2,5
"YGR273C",2,5
"YHL012W",2,5
"YHR015W",4,4
"YHR124W",5,1
"YHR150W",4,4
"YHR152W",1,1
"YHR166C",3,3
"YHR184W",5,3
"YHR185C",3,3
"YIL045W",1,1
"YIL057C",1,1
"YIL099W",1,1
"YIL112W",3,3
"YIL139C",6,6
"YIL144W",1,1
"YIL159W",2,2
"YIR013C",6,6
"YJL037W",3,3
"YJL038C",5,3
"YJL160C",2,5
"YJR036C",3,3
"YJR099W",1,1
"YJR119C",6,6
"YKL022C",3,3
"YKL042W",5,1
"YKL096W",5,4
"YKL104C",6,6
"YKL107W",2,5
"YKL189W",1,1
"YKR005C",2,5
"YLR195C",6,6
"YLR209C",1,1
"YLR210W",3,3
"YLR213C",3,3
"YLR220W",4,4
"YLR227C",5,3
"YLR012C",2,5
"YLR013W",6,6
"YLR030W",2,5
"YLR045c",1,1
"YLR049C",2,5
"YLR054C",3,3
"YKR089C",1,1
"YLL004w",1,1
"YLL005C",5,3
"YLL012W",6,6
"YLR265C",6,6
"YLR273C",1,1
"YLR274W",6,6
"YLR290C",1,1
"YLR307W",3,3
"YLR308W",3,3
"YLR314C",1,1
